eta, gamma basic
   0.000000,   56.560703
   0.020408,   56.492450
   0.040816,   56.308988
   0.061224,   56.038777
   0.081633,   55.695014
   0.102041,   55.286405
   0.122449,   54.819286
   0.142857,   54.298462
   0.163265,   53.727635
   0.183673,   53.109629
   0.204082,   52.446513
   0.224490,   51.739648
   0.244898,   50.989661
   0.265306,   50.196338
   0.285714,   49.358622
   0.306122,   48.469179
   0.326531,   47.518137
   0.346939,   46.520726
   0.367347,   45.488336
   0.387755,   44.427761
   0.408163,   43.344206
   0.428571,   42.241942
   0.448980,   41.124565
   0.469388,   39.995150
   0.489796,   38.856343
   0.510204,   37.710380
   0.530612,   36.559276
   0.551020,   35.404774
   0.571429,   34.248289
   0.591837,   33.090987
   0.612245,   31.933793
   0.632653,   30.777385
   0.653061,   29.622172
   0.673469,   28.468271
   0.693878,   27.315463
   0.714286,   26.163125
   0.734694,   25.010139
   0.755102,   23.854755
   0.775510,   22.694397
   0.795918,   21.525375
   0.816327,   20.342452
   0.836735,   19.138179
   0.857143,   17.901832
   0.877551,   16.617632
   0.897959,   15.261607
   0.918367,   13.795595
   0.938776,   12.154438
   0.959184,   10.213361
   0.979592,    7.672855
   1.000000,    0.000000
