Ground Roll Distance, Acceleration
1102.171152, -8159.693486
1127.600859, -8133.590279
1302.339367, -7957.178796
1336.910223, -7922.882703
1371.356864, -7888.906981
1405.679879, -7855.248141
1439.879854, -7821.902740
1446.705136, -7815.270973
1446.814301, -7815.164965
1446.898002, -7815.083686
1446.940845, -7815.042083
1446.961230, -7815.022288
1446.969686, -7815.014077
1446.971595, -7815.012223
1446.972743, -31836.667095
1446.973795, -31836.703079
1446.984314, -31837.062920
1447.089500, -31840.661531
1448.141153, -31876.667581
1458.637254, -32238.729150
1482.658406, -33085.562586
1508.303142, -34017.069324
1624.563984, -38676.705199
1733.735340, -43832.193242
1831.515826, -49272.818395
1918.181631, -54934.634132
1994.375244, -60757.686934
2060.828596, -66679.495155
2118.287571, -72635.270792
2125.683314, -73471.198171
2129.818577, -73946.400203
2154.988122, -76808.004219
2176.747082, -79455.396793
2185.832295, -80614.888558
2189.793053, -81129.400452
2193.552673, -81619.334848
2228.554721, -86515.746305
2238.392255, -88020.100926
2246.230837, -89267.825666
2247.849672, -89530.324822
2249.706734, -89812.521248
2267.147071, -92588.263137
2293.383003, -97342.982890
2298.411724, -98373.325672
2302.830061, -99325.718678
2307.076341, -100292.926974
2308.451861, -100619.433524
2308.915100, -100733.207141
2309.369191, -100856.963865
2313.608570, -102070.715002
2324.418374, -106115.282842
2325.934085, -107018.420205
2326.690411, -107613.911365
2327.151878, -108114.744966
2327.404815, -108551.973268
2327.494735, -108935.469061
2327.496117, -108968.104447
2327.496453, -108988.258205
2327.496475, -108995.146745
