alpha body, Efficiency
 -10.000000,   -2.268639
  -9.090909,   -1.794718
  -8.181818,   -1.316363
  -7.272727,   -0.833570
  -6.363636,   -0.346505
  -5.454545,    0.144433
  -4.545455,    0.638617
  -3.636364,    1.135161
  -2.727273,    1.633078
  -1.818182,    2.137828
  -0.909091,    2.628043
  -0.000000,    3.115213
   0.909091,    3.597669
   1.818182,    4.073294
   2.727273,    4.540768
   3.636364,    4.997084
   4.545455,    5.441308
   5.454545,    5.869924
   6.363636,    6.281031
   7.272727,    6.643300
   8.181818,    7.013283
