alpha body, Efficiency
 -10.000000,   -2.423574
  -9.090909,   -1.940179
  -8.181818,   -1.450708
  -7.272727,   -0.955150
  -6.363636,   -0.453668
  -5.454545,    0.053331
  -4.545455,    0.565209
  -3.636364,    1.081050
  -2.727273,    1.599835
  -1.818182,    2.127210
  -0.909091,    2.641149
  -0.000000,    3.153547
   0.909091,    3.662809
   1.818182,    4.167089
   2.727273,    4.664215
   3.636364,    5.152182
   4.545455,    5.629348
   5.454545,    6.093699
   6.363636,    6.543110
   7.272727,    6.975005
   8.181818,    7.388414
   9.090909,    7.781836
  10.000000,    8.153625
  10.909091,    8.488460
  11.818182,    8.731098
  12.727273,    8.846973
  13.636364,    8.828991
  14.545455,    8.688679
  15.454545,    8.513396
