eta, gamma add.
   0.000000,  173.172870
   0.020408,  172.976515
   0.040816,  172.453344
   0.061224,  171.691651
   0.081633,  170.732950
   0.102041,  169.605324
   0.122449,  168.330046
   0.142857,  166.924299
   0.163265,  165.402645
   0.183673,  163.777970
   0.204082,  162.062216
   0.224490,  160.267085
   0.244898,  158.404941
   0.265306,  156.490392
   0.285714,  154.545049
   0.306122,  152.603747
   0.326531,  150.689659
   0.346939,  148.773902
   0.367347,  146.838584
   0.387755,  144.876303
   0.408163,  142.883035
   0.428571,  140.856333
   0.448980,  138.794527
   0.469388,  136.696301
   0.489796,  134.560441
   0.510204,  132.385282
   0.530612,  130.169323
   0.551020,  127.911195
   0.571429,  125.608755
   0.591837,  123.259362
   0.612245,  120.859747
   0.632653,  118.405854
   0.653061,  115.892641
   0.673469,  113.313823
   0.693878,  110.661529
   0.714286,  107.925846
   0.734694,  105.094193
   0.755102,  102.150456
   0.775510,   99.073766
   0.795918,   95.836724
   0.816327,   92.402772
   0.836735,   88.722181
   0.857143,   84.725680
   0.877551,   80.313912
   0.897959,   75.338922
   0.918367,   69.569039
   0.938776,   62.614495
   0.959184,   53.739583
   0.979592,   41.206187
   1.000000,    0.000000
