eta, gamma add.
   0.000000,   42.647525
   0.020408,   42.599168
   0.040816,   42.470326
   0.061224,   42.282743
   0.081633,   42.046642
   0.102041,   41.768940
   0.122449,   41.454876
   0.142857,   41.108681
   0.163265,   40.733941
   0.183673,   40.333830
   0.204082,   39.911289
   0.224490,   39.469199
   0.244898,   39.010606
   0.265306,   38.539108
   0.285714,   38.060026
   0.306122,   37.581938
   0.326531,   37.110553
   0.346939,   36.638757
   0.367347,   36.162143
   0.387755,   35.678890
   0.408163,   35.188005
   0.428571,   34.688886
   0.448980,   34.181122
   0.469388,   33.664389
   0.489796,   33.138388
   0.510204,   32.602708
   0.530612,   32.056981
   0.551020,   31.500869
   0.571429,   30.933844
   0.591837,   30.355256
   0.612245,   29.764299
   0.632653,   29.159975
   0.653061,   28.541043
   0.673469,   27.905954
   0.693878,   27.252770
   0.714286,   26.579049
   0.734694,   25.881694
   0.755102,   25.156736
   0.775510,   24.399035
   0.795918,   23.601844
   0.816327,   22.756160
   0.836735,   21.849736
   0.857143,   20.865512
   0.877551,   19.779020
   0.897959,   18.553822
   0.918367,   17.132865
   0.938776,   15.420159
   0.959184,   13.234522
   0.979592,   10.147905
   1.000000,    0.000000
