Ground Roll distance, Load Factor
1117.822477,    0.614135
1144.388958,    0.611187
1328.377689,    0.591018
1364.806824,    0.587075
1401.114305,    0.583162
1437.300645,    0.579279
1473.366357,    0.575425
1480.565068,    0.574658
1480.721886,    0.574641
1480.822369,    0.574630
1480.897945,    0.574622
1480.960926,    0.574616
1480.992742,    0.574612
1481.012661,    0.574610
1481.027422,    0.574609
1481.040856,    0.574607
1481.047247,    0.574607
1481.048337,    0.574606
1481.049377,    0.574606
1481.059781,    0.574602
1481.163820,    0.574559
1482.204000,    0.574134
1492.584573,    0.569876
1594.207107,    0.526399
1632.921811,    0.508930
1652.658680,    0.499818
1671.614893,    0.490932
1790.960324,    0.431703
1900.155422,    0.371938
1995.264108,    0.314771
2077.292183,    0.260972
2147.441338,    0.211093
2166.535511,    0.196818
2183.312048,    0.184008
2197.558282,    0.172924
2200.662747,    0.170482
2203.826896,    0.167985
2234.167869,    0.143561
2247.662553,    0.132406
2254.336162,    0.126820
2260.048486,    0.122001
2265.199585,    0.117624
2305.170103,    0.082597
2309.108691,    0.079037
2311.414434,    0.076943
2312.892912,    0.075597
2315.533100,    0.073185
2339.551955,    0.050830
2365.720333,    0.025519
2370.051857,    0.021218
2371.517823,    0.019755
2372.148331,    0.019124
2375.061868,    0.016197
2377.488268,    0.013744
2388.298381,    0.002609
2389.566071,    0.001274
2390.315832,    0.000479
2390.693677,    0.000076
2390.728643,    0.000039
2390.763557,    0.000002
2390.764666,    0.000000
2390.764964,    0.000000
2390.764979,    0.000000
