CLe, Neutral Point
   0.385017,    0.229995
   0.485941,    0.241377
   0.586669,    0.263707
   0.687211,    0.285896
   0.787550,    0.308113
   0.887688,    0.329832
   0.987629,    0.347595
   1.087381,    0.361147
   1.187286,    0.383051
   1.286700,    0.405270
   1.385910,    0.418567
   1.484915,    0.431675
   1.583707,    0.444520
   1.682291,    0.456424
   1.780675,    0.467715
   1.878857,    0.478805
   1.976827,    0.489561
   2.074590,    0.499829
   2.172142,    0.509684
   2.269484,    0.519009
   2.366617,    0.527811
   2.463546,    0.539719
   2.559021,    0.567881
   2.648144,    0.629155
   2.726375,    0.740432
   2.790461,    1.056324
   2.838426,    1.712963
   2.869564,    3.405242
   2.884431,  107.701342
