CLe, Neutral Point
   0.394046,    0.233767
   0.488147,    0.243338
   0.582092,    0.262675
   0.675870,    0.282285
   0.769473,    0.301790
   0.862905,    0.320533
   0.956179,    0.338962
   1.049280,    0.355049
   1.142203,    0.365073
   1.235322,    0.384056
   1.327950,    0.405725
   1.420402,    0.417430
   1.512676,    0.429016
   1.604766,    0.440664
   1.696668,    0.452111
   1.788381,    0.463032
   1.879908,    0.473184
   1.971256,    0.483076
   2.062417,    0.493085
   2.153383,    0.502768
   2.244157,    0.511840
   2.334743,    0.520317
   2.425145,    0.528470
   2.515360,    0.538897
   2.604643,    0.561319
   2.689326,    0.607359
   2.765701,    0.687390
   2.830960,    0.856137
   2.883185,    1.259206
   2.921341,    2.033083
   2.945286,    4.247537
   2.955763,  -16.017975
   2.954250,  -21.220748
   2.942748,   -4.433057
