CLe, Neutral Point
   0.385203,    0.228493
   0.477017,    0.238520
   0.568679,    0.258763
   0.660179,    0.279249
   0.751510,    0.299559
   0.842676,    0.318984
   0.933692,    0.338023
   1.024544,    0.354569
   1.115225,    0.364684
   1.206105,    0.384164
   1.296513,    0.406435
   1.386754,    0.418195
   1.476831,    0.429790
   1.566735,    0.441407
   1.656467,    0.452777
   1.746022,    0.463560
   1.835408,    0.473514
   1.924629,    0.483166
   2.013678,    0.492905
   2.102550,    0.502271
   2.191248,    0.510979
   2.279775,    0.519054
   2.368136,    0.526775
   2.456328,    0.536856
   2.543624,    0.559509
   2.626441,    0.606935
   2.701155,    0.689983
   2.765018,    0.865761
   2.816153,    1.286003
   2.853544,    2.092145
   2.877048,    4.387814
