CLe, Neutral Point
   0.393779,    0.234943
   0.497195,    0.245798
   0.600411,    0.267147
   0.703434,    0.288431
   0.806248,    0.309800
   0.908852,    0.330771
   1.011248,    0.348047
   1.113445,    0.361377
   1.215793,    0.382702
   1.317630,    0.404364
   1.419249,    0.417582
   1.520648,    0.430669
   1.621819,    0.443555
   1.722765,    0.455580
   1.823495,    0.467053
   1.924004,    0.478370
   2.024283,    0.489405
   2.124334,    0.500006
   2.224154,    0.510243
   2.323744,    0.520002
   2.423101,    0.529277
   2.522233,    0.541514
   2.619859,    0.569244
   2.710967,    0.628579
   2.790915,    0.735719
   2.856375,    1.038912
   2.905333,    1.669171
   2.937074,    3.298503
   2.952174,  151.527323
   2.952393,  146.946344
   2.940253,   -4.629037
