CLe, Neutral Point
   0.393706,    0.234874
   0.497101,    0.245734
   0.600297,    0.267090
   0.703299,    0.288382
   0.806092,    0.309758
   0.908676,    0.330735
   1.011052,    0.348015
   1.113228,    0.361347
   1.215556,    0.382677
   1.317373,    0.404344
   1.418972,    0.417563
   1.520351,    0.430650
   1.621502,    0.443537
   1.722428,    0.455561
   1.823138,    0.467032
   1.923628,    0.478348
   2.023888,    0.489381
   2.123920,    0.499979
   2.223721,    0.510214
   2.323292,    0.519969
   2.422631,    0.529241
   2.521744,    0.541476
   2.619353,    0.569210
   2.710444,    0.628561
   2.790377,    0.735735
   2.855826,    1.039032
   2.904776,    1.669506
   2.936512,    3.299354
   2.951610,  151.008447
   2.951830,  146.425619
   2.939694,   -4.631503
