alpha, Cm
   0.000000,    0.000000
   1.578947,    0.004177
   3.157895,    0.008354
   4.736842,    0.012532
   6.315789,    0.016709
   7.894737,    0.020886
   9.473684,    0.025063
  11.052632,    0.029240
  12.631579,    0.033418
  14.210526,    0.037595
  15.789474,    0.041772
  17.368421,    0.045949
  18.947368,    0.050126
  20.526316,    0.054304
  22.105263,    0.058481
  23.684211,    0.062658
  25.263158,    0.066835
  26.842105,    0.071012
  28.421053,    0.075190
  30.000000,    0.079367
