V (EAS), 
  44.904564,    0.000000
  44.904564,    1.000000
  46.971239,    1.094165
  49.037915,    1.192567
  51.104590,    1.295206
  53.171266,    1.402081
  55.237941,    1.513192
  57.304617,    1.628539
  59.371292,    1.748123
  61.437968,    1.871943
  63.504643,    2.000000
  78.781599,    2.000000
  78.781599,    0.000000
