eta, additional load
   0.000000, 2196.771573
   0.020408, 2180.521517
   0.040816, 2178.755710
   0.061224, 2175.387478
   0.081633, 2170.332917
   0.102041, 2163.589550
   0.122449, 2155.196697
   0.142857, 2145.216758
   0.163265, 2133.724831
   0.183673, 2120.802971
   0.204082, 2106.537530
   0.224490, 2091.018950
   0.244898, 2074.344193
   0.265306, 2056.623704
   0.285714, 2037.652082
   0.306122, 2017.926492
   0.326531, 1998.852526
   0.346939, 1978.370109
   0.367347, 1957.160458
   0.387755, 1935.202399
   0.408163, 1912.488994
   0.428571, 1889.018604
   0.448980, 1864.790908
   0.469388, 1839.804674
   0.489796, 1814.056289
   0.510204, 1787.532940
   0.530612, 1760.221859
   0.551020, 1732.110764
   0.571429, 1703.175162
   0.591837, 1673.382343
   0.612245, 1642.689652
   0.632653, 1611.042306
   0.653061, 1578.370585
   0.673469, 1544.586167
   0.693878, 1509.577275
   0.714286, 1473.202188
   0.734694, 1435.280408
   0.755102, 1395.580471
   0.775510, 1353.802799
   0.795918, 1309.555088
   0.816327, 1262.316109
   0.836735, 1211.380898
   0.857143, 1155.774836
   0.877551, 1094.112898
   0.897959, 1024.355619
   0.918367,  943.351908
   0.938776,  845.880007
   0.959184,  722.235021
   0.979592,  549.721898
   1.000000,    0.000000
