eta, additional load
   0.000000, 9353.544899
   0.020408, 9284.354442
   0.040816, 9276.835886
   0.061224, 9262.494428
   0.081633, 9240.972814
   0.102041, 9212.260505
   0.122449, 9176.524918
   0.142857, 9134.031738
   0.163265, 9085.100725
   0.183673, 9030.081260
   0.204082, 8969.341018
   0.224490, 8903.265082
   0.244898, 8832.266309
   0.265306, 8756.814954
   0.285714, 8676.036452
   0.306122, 8592.047657
   0.326531, 8510.833391
   0.346939, 8423.622134
   0.367347, 8333.314418
   0.387755, 8239.820085
   0.408163, 8143.109597
   0.428571, 8043.175974
   0.448980, 7940.017846
   0.469388, 7833.629967
   0.489796, 7723.996958
   0.510204, 7611.064263
   0.530612, 7494.777518
   0.551020, 7375.084422
   0.571429, 7251.880692
   0.591837, 7125.027052
   0.612245, 6994.341882
   0.632653, 6859.591926
   0.653061, 6720.480327
   0.673469, 6576.631016
   0.693878, 6427.568071
   0.714286, 6272.688058
   0.734694, 6111.222446
   0.755102, 5942.185688
   0.775510, 5764.302224
   0.795918, 5575.901685
   0.816327, 5374.764744
   0.836735, 5157.889770
   0.857143, 4921.126967
   0.877551, 4658.579092
   0.897959, 4361.562394
   0.918367, 4016.659966
   0.938776, 3601.638297
   0.959184, 3075.175306
   0.979592, 2340.638652
   1.000000,    0.000000
