Ground Roll Distance, Horizontal Forces
1140.467782, -12380.397705
1168.587910, -12347.786653
1365.345203, -12121.996924
1404.364394, -12077.713266
1443.273774, -12033.715329
1482.073745, -11990.000715
1520.764702, -11946.567056
1528.489847, -11937.913832
1529.202752, -11937.115596
1529.236604, -11937.077693
1529.266072, -11937.044700
1529.271621, -11937.038486
1529.274775, -25713.316775
1529.277660, -25713.331933
1529.306514, -25713.483515
1529.595047, -25714.999345
1532.479651, -25730.158789
1561.253724, -25881.865017
1750.363240, -26901.414162
1933.357992, -27926.216153
2110.005115, -28952.485941
2280.071416, -29976.140268
2443.324302, -30992.814442
2599.532771, -31997.885075
2748.468465, -32986.499007
2889.906768, -33953.608523
3023.627955, -34894.012778
3149.418374, -35802.405205
3267.071650, -36673.426465
3376.389902, -37501.722317
3477.184959, -38282.005575
3569.279563, -39009.121139
3652.508533, -39678.112900
3726.719897, -40284.291185
3791.775955, -40823.299276
3847.554266, -41291.177487
3893.948547, -41684.423239
3930.869472, -42000.045628
3958.245344, -42235.613063
3976.022656, -42389.292670
3984.166498, -42459.880414
3984.737572, -42464.834671
