alpha_b, x dist
  -4.000000,   12.287500
  -3.794872,   12.287500
  -3.589744,   12.287500
  -3.384615,   12.287500
  -3.179487,   12.287500
  -2.974359,   12.287500
  -2.769231,   12.287500
  -2.564103,   12.287500
  -2.358974,   12.287500
  -2.153846,   12.287500
  -1.948718,   12.287500
  -1.743590,   12.287500
  -1.538462,   12.287500
  -1.333333,   12.287500
  -1.128205,   12.287500
  -0.923077,   12.287500
  -0.717949,   12.287500
  -0.512821,   12.287500
  -0.307692,   12.287500
  -0.102564,   12.287500
   0.102564,   12.287500
   0.307692,   12.287500
   0.512821,   12.287500
   0.717949,   12.287500
   0.923077,   12.287500
   1.128205,   12.287500
   1.333333,   12.287500
   1.538462,   12.287500
   1.743590,   12.287500
   1.948718,   12.287500
   2.153846,   12.287500
   2.358974,   12.287500
   2.564103,   12.287500
   2.769231,   12.287500
   2.974359,   12.287500
   3.179487,   12.287500
   3.384615,   12.287500
   3.589744,   12.287500
   3.794872,   12.287500
   4.000000,   12.287500
