CD, CL
   0.019735,   -0.413748
   0.018069,   -0.388780
   0.016496,   -0.363647
   0.015017,   -0.338348
   0.013637,   -0.312869
   0.012356,   -0.287202
   0.011175,   -0.261359
   0.010100,   -0.235337
   0.009130,   -0.209134
   0.008267,   -0.182741
   0.007515,   -0.156141
   0.006883,   -0.129351
   0.006362,   -0.102369
   0.005955,   -0.075193
   0.005679,   -0.047816
   0.005528,   -0.020215
   0.005498,    0.007590
   0.005595,    0.035599
   0.005835,    0.063815
   0.006206,    0.092240
   0.006711,    0.120905
   0.007362,    0.149784
   0.008161,    0.178879
   0.009103,    0.208192
   0.010198,    0.237741
   0.011555,    0.269861
   0.013779,    0.315575
   0.016352,    0.361280
   0.019268,    0.406975
   0.022534,    0.452656
