Ground Distance, Emission HC
   0.000000,    0.000000
   0.015373,    0.000000
   0.168785,    0.000000
   0.339218,    0.000000
   0.509650,    0.000000
   0.680083,    0.000000
   0.850515,    0.000000
   1.020948,    0.000000
   1.191380,    0.000000
   1.361813,    0.000000
   1.532245,    0.000000
   1.702678,    0.000000
   2.119185,    0.000000
   2.566417,    0.000000
   3.013649,    0.000000
   3.460881,    0.000000
   3.908113,    0.000000
   4.355345,    0.000000
   4.802576,    0.000000
   5.249808,    0.000000
   5.697040,    0.000000
   6.144272,    0.000000
   6.834992,    0.000000
   7.556114,    0.000000
   8.277236,    0.000000
   8.998358,    0.000000
   9.719480,    0.000000
  10.440601,    0.000000
  11.161723,    0.000000
  11.882845,    0.000000
  12.603967,    0.000000
  13.325089,    0.000000
  14.287041,    0.000000
  15.279063,    0.000000
  16.271085,    0.000000
  17.263106,    0.000000
  18.255128,    0.000000
  19.247150,    0.000000
  20.239172,    0.000000
  21.231194,    0.000000
  22.223216,    0.000000
  23.215238,    0.000000
  24.445364,    0.000000
  25.705220,    0.000000
  26.965075,    0.000000
  28.224931,    0.000000
  29.484787,    0.000000
  30.744643,    0.000000
  32.004499,    0.000000
  33.264354,    0.000000
  34.524210,    0.000000
  35.784066,    0.000000
  37.279237,    0.000000
  38.803789,    0.000000
  40.328341,    0.000000
  41.852893,    0.000000
  43.377445,    0.000000
  44.901997,    0.000000
  46.426549,    0.000000
  47.951101,    0.000000
  49.475653,    0.000000
  51.000206,    0.000000
  52.757125,    0.000000
  54.543057,    0.000000
  56.328989,    0.000000
  58.114921,    0.000000
  59.900854,    0.000000
  61.686786,    0.000000
  63.472718,    0.000000
  65.258650,    0.000000
  67.044583,    0.000000
  68.830515,    0.000000
  70.845145,    0.000000
  72.888330,    0.000000
  74.931515,    0.000000
  76.974701,    0.000000
  79.017886,    0.000000
  81.061071,    0.000000
  83.104256,    0.000000
  85.147441,    0.000000
  87.190626,    0.000000
  89.233812,    0.000000
  91.501718,    0.000000
  93.797684,    0.000000
  96.093649,    0.000000
  98.389614,    0.000000
 100.685580,    0.000000
 102.981545,    0.000000
 105.277510,    0.000000
 107.573476,    0.000000
 109.869441,    0.000000
 112.165406,    0.000000
 114.682102,    0.000000
 117.226359,    0.000000
 119.770615,    0.000000
 122.314871,    0.000000
 124.859128,    0.000000
 127.403384,    0.000000
 129.947640,    0.000000
 132.491897,    0.000000
 135.036153,    0.000000
 137.580409,    0.000000
 140.341396,    0.000000
 143.129443,    0.000000
 145.917490,    0.000000
 148.705537,    0.000000
 151.493584,    0.000000
 154.281632,    0.000000
 157.069679,    0.000000
 159.857726,    0.000000
 162.645773,    0.000000
 165.433820,    0.000000
 168.434592,    0.000000
 171.461924,    0.000000
 174.489256,    0.000000
 177.516588,    0.000000
 180.543920,    0.000000
 183.571252,    0.000000
 186.598584,    0.000000
 189.625916,    0.000000
 192.653248,    0.000000
 195.680580,    0.000000
 198.916629,    0.000000
 202.178739,    0.000000
 205.440848,    0.000000
 208.702958,    0.000000
 211.965068,    0.000000
 215.227178,    0.000000
 218.489287,    0.000000
 221.751397,    0.000000
 225.013507,    0.000000
 228.275617,    0.000000
 231.742291,    0.000000
 235.234507,    0.000000
 238.726722,    0.000000
 242.218938,    0.000000
 245.711154,    0.000000
 249.203370,    0.000000
 252.695586,    0.000000
 256.187802,    0.000000
 259.680018,    0.000000
 263.172234,    0.000000
 266.864084,    0.000000
 270.580862,    0.000000
 274.297639,    0.000000
 278.014416,    0.000000
 281.731193,    0.000000
 285.447970,    0.000000
 289.164747,    0.000000
 292.881525,    0.000000
 296.598302,    0.000000
 300.315079,    0.000000
 304.226339,    0.000000
 308.161883,    0.000000
 312.097426,    0.000000
 316.032970,    0.000000
 319.968513,    0.000000
 323.904057,    0.000000
 327.839600,    0.000000
 331.775144,    0.000000
 335.710687,    0.000000
 339.646231,    0.000000
 343.771177,    0.000000
 347.919771,    0.000000
 352.068366,    0.000000
 356.216960,    0.000000
 360.365555,    0.000000
 364.514149,    0.000000
 368.662744,    0.000000
 372.811338,    0.000000
 376.959933,    0.000000
 381.108527,    0.000000
 385.441517,    0.000000
 389.797530,    0.000000
 394.153544,    0.000000
 398.509557,    0.000000
 402.865570,    0.000000
 407.221583,    0.000000
 411.577596,    0.000000
 415.933610,    0.000000
 420.289623,    0.000000
 424.645636,    0.000000
 429.181114,    0.000000
 433.739000,    0.000000
 438.296885,    0.000000
 442.854771,    0.000000
 447.412657,    0.000000
 451.970542,    0.000000
 456.528428,    0.000000
 461.086313,    0.000000
 465.644199,    0.000000
 470.202085,    0.000000
 474.934583,    0.000000
 479.688884,    0.000000
 484.443185,    0.000000
 489.197485,    0.000000
 493.951786,    0.000000
 498.706087,    0.000000
 503.460387,    0.000000
 508.214688,    0.000000
 512.968989,    0.000000
 517.723290,    0.000000
 522.647433,    0.000000
 527.592782,    0.000000
 532.538132,    0.000000
 537.483481,    0.000000
 542.428831,    0.000000
 547.374180,    0.000000
 552.319530,    0.000000
 557.264879,    0.000000
 562.210228,    0.000000
 567.155578,    0.000000
 572.266084,    0.000000
 577.397212,    0.000000
 582.528339,    0.000000
 587.659467,    0.000000
 592.790594,    0.000000
 597.921721,    0.000000
 603.052849,    0.000000
 608.183976,    0.000000
 613.315104,    0.000000
 618.446231,    0.000000
 623.737949,    0.000000
 629.049717,    0.000000
 634.361486,    0.000000
 639.673254,    0.000000
 644.985023,    0.000000
 650.296791,    0.000000
 655.608560,    0.000000
 660.920328,    0.000000
 666.232097,    0.000000
 671.543865,    0.000000
 677.011762,    0.000000
 682.499153,    0.000000
 687.986544,    0.000000
 693.473935,    0.000000
 698.961327,    0.000000
 704.448718,    0.000000
 709.936109,    0.000000
 715.423500,    0.000000
 720.910891,    0.000000
 726.398282,    0.000000
 732.037424,    0.000000
 737.695515,    0.000000
 743.353605,    0.000000
 749.011695,    0.000000
 754.669785,    0.000000
 760.327875,    0.000000
 765.985965,    0.000000
 771.644055,    0.000000
 777.302145,    0.000000
 782.960235,    0.000000
 788.700458,    0.000000
 789.596318,    0.000000
 795.428852,    0.000000
 801.261386,    0.000000
 807.093920,    0.000000
 812.926454,    0.000000
 818.758988,    0.000000
 824.591522,    0.000000
 830.424056,    0.000000
 836.256590,    0.000000
 842.095900,    0.000000
 848.079721,    0.000000
 854.063542,    0.000000
 860.047362,    0.000000
 866.031183,    0.000000
 872.015003,    0.000000
 877.998824,    0.000000
 883.982644,    0.000000
 889.966465,    0.000000
 895.950285,    0.000000
 901.940895,    0.000000
 908.076286,    0.000000
 914.211677,    0.000000
 920.347068,    0.000000
 926.482459,    0.000000
 932.617850,    0.000000
 938.753241,    0.000000
 944.888632,    0.000000
 951.024023,    0.000000
 957.159414,    0.000000
 963.301150,    0.000000
 969.578194,    0.000000
 975.855238,    0.000000
 982.132281,    0.000000
 988.409325,    0.000000
 994.686369,    0.000000
1000.963413,    0.000000
1007.240457,    0.000000
1013.517500,    0.000000
1019.794544,    0.000000
1025.790447,    0.000000
1032.174633,    0.000000
1038.558819,    0.000000
1044.943005,    0.000000
1051.327191,    0.000000
1057.711377,    0.000000
1064.095563,    0.000000
1070.479749,    0.000000
1076.863935,    0.000000
1083.248121,    0.000000
1089.632307,    0.000000
1096.044616,    0.000000
1102.456926,    0.000000
1108.869235,    0.000000
1115.281544,    0.000000
1121.693854,    0.000000
1128.105808,    0.000000
1134.517762,    0.000000
1140.929716,    0.000000
1147.341670,    0.000000
1153.753624,    0.000000
1160.151680,    0.000000
1166.549735,    0.000000
1172.947791,    0.000000
1179.345847,    0.000000
1185.743902,    0.000000
