CL_e, CD_e
   0.029434,   -0.039008
   0.029128,    0.014185
   0.029292,    0.067397
   0.029929,    0.120628
   0.031043,    0.173877
   0.032639,    0.227145
   0.034715,    0.280431
   0.037278,    0.333736
   0.040330,    0.387058
   0.043873,    0.444861
   0.047917,    0.497092
   0.052464,    0.549340
   0.057508,    0.601605
   0.063051,    0.653887
   0.069098,    0.706186
   0.075650,    0.758501
   0.082718,    0.810832
   0.090297,    0.863179
   0.098388,    0.915542
   0.106993,    0.967920
   0.116115,    1.020314
   0.125766,    1.072721
   0.135948,    1.125144
   0.146652,    1.177580
   0.157884,    1.230030
   0.169669,    1.282494
   0.182186,    1.334971
   0.195281,    1.387461
   0.209071,    1.439963
   0.223911,    1.491878
