CL_e, CD_e
   0.029392,   -0.041906
   0.029079,    0.015101
   0.029238,    0.072130
   0.029871,    0.129181
   0.030982,    0.186255
   0.032575,    0.243350
   0.034651,    0.300467
   0.037214,    0.357605
   0.040268,    0.414765
   0.043814,    0.476727
   0.047858,    0.532721
   0.052398,    0.588735
   0.057437,    0.644770
   0.062978,    0.700825
   0.069025,    0.756900
   0.075577,    0.812995
   0.082635,    0.869110
   0.090206,    0.925244
   0.098288,    0.981397
   0.106887,    1.037569
   0.116007,    1.093760
   0.125652,    1.149969
   0.135821,    1.206197
   0.146515,    1.262442
   0.157738,    1.318705
   0.169515,    1.374986
   0.181971,    1.431283
   0.195000,    1.487598
   0.208600,    1.543929
   0.222707,    1.599634
