Range, Altitude
   0.000000,    0.000000
   0.000010,    0.000000
   0.000108,    0.000000
   0.000216,    0.000000
   0.000325,    0.000000
   0.000434,    0.000000
   0.000543,    0.000000
   0.000651,    0.000000
   0.000760,    0.000000
   0.000869,    0.000000
   0.000978,    0.000000
   0.001086,    0.000000
   0.001352,    0.000000
   0.001637,    0.000000
   0.001922,    0.000000
   0.002207,    0.000000
   0.002493,    0.000000
   0.002778,    0.000000
   0.003063,    0.000000
   0.003348,    0.000000
   0.003633,    0.000000
   0.003918,    0.000000
   0.004358,    0.000000
   0.004818,    0.000000
   0.005277,    0.000000
   0.005736,    0.000000
   0.006196,    0.000000
   0.006655,    0.000000
   0.007114,    0.000000
   0.007574,    0.000000
   0.008033,    0.000000
   0.008492,    0.000000
   0.009105,    0.000000
   0.009736,    0.000000
   0.010367,    0.000000
   0.010999,    0.000000
   0.011630,    0.000000
   0.012261,    0.000000
   0.012893,    0.000000
   0.013524,    0.000000
   0.014155,    0.000000
   0.014787,    0.000000
   0.015569,    0.000000
   0.016370,    0.000000
   0.017171,    0.000000
   0.017972,    0.000000
   0.018773,    0.000000
   0.019574,    0.000000
   0.020375,    0.000000
   0.021176,    0.000000
   0.021977,    0.000000
   0.022778,    0.000000
   0.023728,    0.000000
   0.024696,    0.000000
   0.025664,    0.000000
   0.026632,    0.000000
   0.027601,    0.000000
   0.028569,    0.000000
   0.029537,    0.000000
   0.030506,    0.000000
   0.031474,    0.000000
   0.032442,    0.000000
   0.033556,    0.000000
   0.034689,    0.000000
   0.035821,    0.000000
   0.036954,    0.000000
   0.038086,    0.000000
   0.039219,    0.000000
   0.040351,    0.000000
   0.041484,    0.000000
   0.042616,    0.000000
   0.043749,    0.000000
   0.045024,    0.000000
   0.046318,    0.000000
   0.047611,    0.000000
   0.048904,    0.000000
   0.050198,    0.000000
   0.051491,    0.000000
   0.052785,    0.000000
   0.054078,    0.000000
   0.055372,    0.000000
   0.056665,    0.000000
   0.058098,    0.000000
   0.059549,    0.000000
   0.061000,    0.000000
   0.062452,    0.000000
   0.063903,    0.000000
   0.065354,    0.000000
   0.066805,    0.000000
   0.068256,    0.000000
   0.069707,    0.000000
   0.071158,    0.000000
   0.072746,    0.000000
   0.074351,    0.000000
   0.075956,    0.000000
   0.077562,    0.000000
   0.079167,    0.000000
   0.080772,    0.000000
   0.082378,    0.000000
   0.083983,    0.000000
   0.085588,    0.000000
   0.087194,    0.000000
   0.088933,    0.000000
   0.090690,    0.000000
   0.092446,    0.000000
   0.094202,    0.000000
   0.095958,    0.000000
   0.097715,    0.000000
   0.099471,    0.000000
   0.101227,    0.000000
   0.102984,    0.000000
   0.104740,    0.000000
   0.106627,    0.000000
   0.108531,    0.000000
   0.110435,    0.000000
   0.112339,    0.000000
   0.114243,    0.000000
   0.116146,    0.000000
   0.118050,    0.000000
   0.119954,    0.000000
   0.121858,    0.000000
   0.123762,    0.000000
   0.125793,    0.000000
   0.127840,    0.000000
   0.129887,    0.000000
   0.131935,    0.000000
   0.133982,    0.000000
   0.136029,    0.000000
   0.138076,    0.000000
   0.140123,    0.000000
   0.142171,    0.000000
   0.144218,    0.000000
   0.146389,    0.000000
   0.148575,    0.000000
   0.150761,    0.000000
   0.152948,    0.000000
   0.155134,    0.000000
   0.157320,    0.000000
   0.159507,    0.000000
   0.161693,    0.000000
   0.163879,    0.000000
   0.166066,    0.000000
   0.168372,    0.000000
   0.170693,    0.000000
   0.173015,    0.000000
   0.175336,    0.000000
   0.177657,    0.000000
   0.179978,    0.000000
   0.182300,    0.000000
   0.184621,    0.000000
   0.186942,    0.000000
   0.189263,    0.000000
   0.191701,    0.000000
   0.194153,    0.000000
   0.196605,    0.000000
   0.199057,    0.000000
   0.201509,    0.000000
   0.203962,    0.000000
   0.206414,    0.000000
   0.208866,    0.000000
   0.211318,    0.000000
   0.213770,    0.000000
   0.216335,    0.000000
   0.218914,    0.000000
   0.221492,    0.000000
   0.224071,    0.000000
   0.226650,    0.000000
   0.229229,    0.000000
   0.231808,    0.000000
   0.234387,    0.000000
   0.236966,    0.000000
   0.239545,    0.000000
   0.242233,    0.000000
   0.244934,    0.000000
   0.247636,    0.000000
   0.250338,    0.000000
   0.253039,    0.000000
   0.255741,    0.000000
   0.258443,    0.000000
   0.261145,    0.000000
   0.263846,    0.000000
   0.266548,    0.000000
   0.269337,    0.000000
   0.272137,    0.000000
   0.274937,    0.000000
   0.277737,    0.000000
   0.280537,    0.000000
   0.283337,    0.000000
   0.284976,    0.000000
