eta, Cm
   0.000000,   -0.160891
   0.020408,   -0.160488
   0.040816,   -0.160090
   0.061224,   -0.159658
   0.081633,   -0.159195
   0.102041,   -0.158699
   0.122449,   -0.158171
   0.142857,   -0.157610
   0.163265,   -0.157015
   0.183673,   -0.156385
   0.204082,   -0.155719
   0.224490,   -0.155016
   0.244898,   -0.154273
   0.265306,   -0.153489
   0.285714,   -0.152663
   0.306122,   -0.152034
   0.326531,   -0.151952
   0.346939,   -0.151879
   0.367347,   -0.151814
   0.387755,   -0.151755
   0.408163,   -0.151703
   0.428571,   -0.151657
   0.448980,   -0.151618
   0.469388,   -0.151585
   0.489796,   -0.151558
   0.510204,   -0.151538
   0.530612,   -0.151524
   0.551020,   -0.151516
   0.571429,   -0.151514
   0.591837,   -0.151519
   0.612245,   -0.151529
   0.632653,   -0.151546
   0.653061,   -0.151568
   0.673469,   -0.151597
   0.693878,   -0.151631
   0.714286,   -0.151669
   0.734694,   -0.151713
   0.755102,   -0.151759
   0.775510,   -0.151808
   0.795918,   -0.151856
   0.816327,   -0.151901
   0.836735,   -0.151939
   0.857143,   -0.151963
   0.877551,   -0.151962
   0.897959,   -0.151922
   0.918367,   -0.151816
   0.938776,   -0.151601
   0.959184,   -0.151191
   0.979592,   -0.150391
   1.000000,    0.000000
