eta, basic load
   0.000000, -27897.861528
   0.020408, -26931.149987
   0.040816, -25983.426936
   0.061224, -25050.617595
   0.081633, -24133.071472
   0.102041, -23231.060599
   0.122449, -22344.811051
   0.142857, -21474.517647
   0.163265, -20620.352587
   0.183673, -19782.471249
   0.204082, -18961.016509
   0.224490, -18156.122274
   0.244898, -17367.916697
   0.265306, -16596.525365
   0.285714, -15842.156049
   0.306122, -15182.523976
   0.326531, -14715.070373
   0.346939, -14255.996298
   0.367347, -13804.987183
   0.387755, -13361.953736
   0.408163, -12926.818373
   0.428571, -12499.511641
   0.448980, -12079.970426
   0.469388, -11668.136777
   0.489796, -11263.957024
   0.510204, -10867.381520
   0.530612, -10478.362948
   0.551020, -10096.856254
   0.571429, -9722.818970
   0.591837, -9356.210287
   0.612245, -8996.990664
   0.632653, -8645.121446
   0.653061, -8300.564436
   0.673469, -7963.281431
   0.693878, -7633.233663
   0.714286, -7310.381102
   0.734694, -6994.681570
   0.755102, -6686.089536
   0.775510, -6384.554461
   0.795918, -6090.018432
   0.816327, -5802.412675
   0.836735, -5521.652246
   0.857143, -5247.627631
   0.877551, -4980.190854
   0.897959, -4719.131144
   0.918367, -4464.129007
   0.938776, -4214.659677
   0.959184, -3969.752459
   0.979592, -3727.165961
   1.000000,    0.000000
