eta, basic load
   0.000000, -28178.843963
   0.020408, -27180.037917
   0.040816, -26202.144811
   0.061224, -25239.082503
   0.081633, -24291.360906
   0.102041, -23359.374039
   0.122449, -22443.446843
   0.142857, -21543.856800
   0.163265, -20660.846416
   0.183673, -19794.631323
   0.204082, -18945.405947
   0.224490, -18113.347667
   0.244898, -17298.619829
   0.265306, -16501.373413
   0.285714, -15721.867471
   0.306122, -15048.016529
   0.326531, -14590.144787
   0.346939, -14140.550636
   0.367347, -13698.832358
   0.387755, -13264.902491
   0.408163, -12838.681636
   0.428571, -12420.096784
   0.448980, -12009.080354
   0.469388, -11605.569409
   0.489796, -11209.504976
   0.510204, -10820.831986
   0.530612, -10439.497338
   0.551020, -10065.449843
   0.571429, -9698.640732
   0.591837, -9339.022506
   0.612245, -8986.548433
   0.632653, -8641.171992
   0.653061, -8302.846242
   0.673469, -7971.523074
   0.693878, -7647.152276
   0.714286, -7329.680338
   0.734694, -7019.048871
   0.755102, -6715.192452
   0.775510, -6418.035613
   0.795918, -6127.488510
   0.816327, -5843.440537
   0.836735, -5565.750571
   0.857143, -5294.231554
   0.877551, -5028.625010
   0.897959, -4768.556502
   0.918367, -4513.451723
   0.938776, -4262.360592
   0.959184, -4013.520192
   0.979592, -3762.862379
   1.000000,    0.000000
