eta, basic load
   0.000000, -29302.773703
   0.020408, -28175.589634
   0.040816, -27077.016313
   0.061224, -25992.942137
   0.081633, -24924.518642
   0.102041, -23872.627801
   0.122449, -22837.990010
   0.142857, -21821.213411
   0.163265, -20822.821735
   0.183673, -19843.271619
   0.204082, -18882.963700
   0.224490, -17942.249236
   0.244898, -17021.432356
   0.265306, -16120.765605
   0.285714, -15240.713157
   0.306122, -14509.986743
   0.326531, -14090.442444
   0.346939, -13678.767991
   0.367347, -13274.213059
   0.387755, -12876.697511
   0.408163, -12486.134686
   0.428571, -12102.437357
   0.448980, -11725.520065
   0.469388, -11355.299939
   0.489796, -10991.696784
   0.510204, -10634.633851
   0.530612, -10284.034896
   0.551020, -9939.824198
   0.571429, -9601.927777
   0.591837, -9270.271385
   0.612245, -8944.779509
   0.632653, -8625.374176
   0.653061, -8311.973467
   0.673469, -8004.489645
   0.693878, -7702.826728
   0.714286, -7406.877279
   0.734694, -7116.518073
   0.755102, -6831.604116
   0.775510, -6551.960218
   0.795918, -6277.368822
   0.816327, -6007.551986
   0.836735, -5742.143871
   0.857143, -5480.647245
   0.877551, -5222.361637
   0.897959, -4966.257937
   0.918367, -4710.742586
   0.938776, -4453.164254
   0.959184, -4188.591123
   0.979592, -3905.648052
   1.000000,    0.000000
