alpha body, Neutral Point
  -4.000000,    0.321435
  -3.517241,    0.288538
  -3.034483,    0.253382
  -2.551724,    0.248812
  -2.068966,    0.244247
  -1.586207,    0.239744
  -1.103448,    0.235225
  -0.620690,    0.230681
  -0.137931,    0.222364
   0.344828,    0.217982
   0.827586,    0.217396
   1.310345,    0.212880
   1.793103,    0.208359
   2.275862,    0.203751
   2.758621,    0.199140
   3.241379,    0.194634
   3.724138,    0.190146
   4.206897,    0.185683
   4.689655,    0.181176
   5.172414,    0.177954
   5.655172,    0.182363
   6.137931,    0.191666
   6.620690,    0.194809
   7.103448,    0.193515
   7.586207,    0.238208
   8.068966,    0.283383
