alpha body, Neutral Point
  -4.000000,    0.295495
  -3.517241,    0.267505
  -3.034483,    0.237558
  -2.551724,    0.233612
  -2.068966,    0.229694
  -1.586207,    0.225850
  -1.103448,    0.222016
  -0.620690,    0.218182
  -0.137931,    0.211180
   0.344828,    0.207525
   0.827586,    0.207099
   1.310345,    0.203371
   1.793103,    0.199657
   2.275862,    0.195889
   2.758621,    0.192138
   3.241379,    0.188494
   3.724138,    0.184883
   4.206897,    0.181312
   4.689655,    0.177720
   5.172414,    0.175237
   5.655172,    0.179260
   6.137931,    0.187461
   6.620690,    0.190442
   7.103448,    0.189665
   7.586207,    0.227014
   8.068966,    0.264608
