alpha body, CLh_e
  -4.000000,   -0.396146
  -3.172414,   -0.358255
  -2.344828,   -0.319842
  -1.517241,   -0.280904
  -0.689655,   -0.241454
   0.137931,   -0.201062
   0.965517,   -0.160627
   1.793103,   -0.119685
   2.620690,   -0.078237
   3.448276,   -0.036290
   4.275862,    0.006158
   5.103448,    0.049101
   5.931034,    0.092537
   6.758621,    0.136464
   7.586207,    0.180881
   8.413793,    0.225790
   9.241379,    0.271184
  10.068966,    0.317060
  10.896552,    0.363411
  11.724138,    0.410228
  12.551724,    0.457504
  13.379310,    0.505236
  14.206897,    0.553505
  15.034483,    0.601793
  15.862069,    0.648550
  16.689655,    0.692499
  17.517241,    0.732829
  18.344828,    0.769230
  19.172414,    0.801928
  20.000000,    0.831711
