eta, Total_load
   0.000000, 24669.029342
   0.020408, 24527.897351
   0.040816, 24545.119504
   0.061224, 24560.873951
   0.081633, 24571.106113
   0.102041, 24573.530434
   0.122449, 24566.725577
   0.142857, 24549.766090
   0.163265, 24522.033716
   0.183673, 24483.108318
   0.204082, 24432.699858
   0.224490, 24370.603661
   0.244898, 24296.669729
   0.265306, 24210.780935
   0.285714, 24112.836971
   0.306122, 24002.742116
   0.326531, 23880.395506
   0.346939, 23745.683059
   0.367347, 23598.470395
   0.387755, 23438.596295
   0.408163, 23265.866328
   0.428571, 23080.046304
   0.448980, 22880.855295
   0.469388, 22667.957903
   0.489796, 22440.955504
   0.510204, 22199.281545
   0.530612, 21942.349146
   0.551020, 21669.578467
   0.571429, 21380.185003
   0.591837, 21073.244368
   0.612245, 20747.666300
   0.632653, 20402.162557
   0.653061, 20035.206954
   0.673469, 19644.985151
   0.693878, 19229.330965
   0.714286, 18785.644703
   0.734694, 18310.787145
   0.755102, 17800.939945
   0.775510, 17251.418696
   0.795918, 16656.417372
   0.816327, 16008.649779
   0.836735, 15298.829217
   0.857143, 14514.878740
   0.877551, 13640.658641
   0.897959, 12653.748509
   0.918367, 11521.170614
   0.938776, 10189.983375
   0.959184, 8562.289410
   0.979592, 6402.955172
   1.000000,    0.000000
