eta, Gamma
   0.000000,  331.754081
   0.020408,  331.841059
   0.040816,  332.015057
   0.061224,  332.163862
   0.081633,  332.241942
   0.102041,  332.222843
   0.122449,  332.089453
   0.142857,  331.830052
   0.163265,  331.436281
   0.183673,  330.901972
   0.204082,  330.222400
   0.224490,  329.393803
   0.244898,  328.413029
   0.265306,  327.277301
   0.285714,  325.984020
   0.306122,  324.530630
   0.326531,  322.914493
   0.346939,  321.132787
   0.367347,  319.182421
   0.387755,  317.059941
   0.408163,  314.761448
   0.428571,  312.282506
   0.448980,  309.618047
   0.469388,  306.762264
   0.489796,  303.708488
   0.510204,  300.446949
   0.530612,  296.968519
   0.551020,  293.264942
   0.571429,  289.324333
   0.591837,  285.132918
   0.612245,  280.674689
   0.632653,  275.930980
   0.653061,  270.879954
   0.673469,  265.495952
   0.693878,  259.748683
   0.714286,  253.602202
   0.734694,  247.013591
   0.755102,  239.931255
   0.775510,  232.292671
   0.795918,  224.021341
   0.816327,  215.022550
   0.836735,  205.177160
   0.857143,  194.332038
   0.877551,  182.284152
   0.897959,  168.752079
   0.918367,  153.320088
   0.938776,  135.314772
   0.959184,  113.478667
   0.979592,   84.770473
   1.000000,    0.000000
