eta, Gamma
   0.000000,   66.350816
   0.020408,   66.368212
   0.040816,   66.403011
   0.061224,   66.432772
   0.081633,   66.448388
   0.102041,   66.444569
   0.122449,   66.417891
   0.142857,   66.366010
   0.163265,   66.287256
   0.183673,   66.180394
   0.204082,   66.044480
   0.224490,   65.878761
   0.244898,   65.682606
   0.265306,   65.455460
   0.285714,   65.196804
   0.306122,   64.906126
   0.326531,   64.582899
   0.346939,   64.226557
   0.367347,   63.836484
   0.387755,   63.411988
   0.408163,   62.952290
   0.428571,   62.456501
   0.448980,   61.923609
   0.469388,   61.352453
   0.489796,   60.741698
   0.510204,   60.089390
   0.530612,   59.393704
   0.551020,   58.652988
   0.571429,   57.864867
   0.591837,   57.026584
   0.612245,   56.134938
   0.632653,   55.186196
   0.653061,   54.175991
   0.673469,   53.099190
   0.693878,   51.949737
   0.714286,   50.720440
   0.734694,   49.402718
   0.755102,   47.986251
   0.775510,   46.458534
   0.795918,   44.804268
   0.816327,   43.004510
   0.836735,   41.035432
   0.857143,   38.866408
   0.877551,   36.456830
   0.897959,   33.750416
   0.918367,   30.664018
   0.938776,   27.062954
   0.959184,   22.695733
   0.979592,   16.954095
   1.000000,    0.000000
