Ground distance, Vertical Forces
 110.625660, 662782.440250
 111.731403, 662782.440250
 111.804807, 662782.440250
 111.866534, 662782.440250
 111.886082, 662782.440250
 111.900422, 662782.440250
 111.904983, 662782.440250
 111.910519, 662782.440250
 111.952131, 662782.440250
 112.143714, 662782.440250
 112.797392, 662782.440250
 114.429220, 662782.440250
 116.294419, 662782.440250
 118.182703, 662782.440250
 120.092987, 662782.440250
 122.024500, 662782.440250
 123.961925, 662782.440250
 125.923914, 662782.440250
 127.905807, 662782.440250
 129.919504, 662782.440250
 131.943337, 662782.440250
 133.989455, 662782.440250
 136.056981, 662782.440250
 138.136803, 662782.440250
 140.247282, 662782.440250
 142.373839, 662782.440250
 144.516323, 662782.440250
 146.676936, 662782.440250
 147.115131, 662782.440250
 147.432696, 662782.440250
 147.476346, 662782.440250
 147.524320, 662782.440250
 147.530664, 662782.440250
 147.533743, 662782.440250
 147.536558, 662782.440250
 147.564708, 662782.440250
 147.717210, 662782.440250
 148.534607, 662782.440250
 150.923449, 662782.440250
 153.159923, 662782.440250
 155.409319, 662782.440250
 157.676992, 662782.440250
 159.972249, 662782.440250
 162.284286, 662782.440250
 164.623861, 662782.440250
 166.986655, 662782.440250
 169.377427, 662782.440250
 171.778401, 662782.440250
 174.209076, 662782.440250
 176.654372, 662782.440250
 179.118307, 662782.440250
 181.609966, 662782.440250
 184.127272, 662782.440250
 186.660915, 662782.440250
 187.168728, 662782.440250
 187.492310, 662782.440250
 187.707308, 662782.440250
 188.430506, 662782.440250
 188.522563, 662782.440250
 188.539209, 662782.440250
 188.542264, 662782.440250
 188.572597, 662782.440250
 188.615109, 662782.440250
 188.893226, 662782.440250
 189.859678, 662782.440250
 192.145558, 662782.440250
 194.755073, 662782.440250
 197.396721, 662782.440250
 200.042331, 662782.440250
 202.727857, 662782.440250
 205.435179, 662782.440250
 208.156103, 662782.440250
 210.893779, 662782.440250
 213.646324, 662782.440250
 216.439885, 662782.440250
 219.253642, 662782.440250
 222.081953, 662782.440250
 224.950825, 662782.440250
 227.833547, 662782.440250
 230.739710, 662782.440250
 233.678389, 662782.440250
 234.268078, 662782.440250
 234.719081, 662782.440250
 235.015577, 662782.440250
 235.061580, 662782.440250
 235.105451, 662782.440250
 235.114457, 662782.440250
 235.121071, 662782.440250
 235.125420, 662782.440250
 235.127530, 662782.440250
 235.129429, 662782.440250
 235.147467, 662782.440250
 235.267273, 662782.440250
 235.762735, 662782.440250
 237.394238, 662782.440250
 240.437696, 662782.440250
 243.447839, 662782.440250
 246.495551, 662782.440250
 249.562429, 662782.440250
 252.651825, 662782.440250
 255.765826, 662782.440250
 258.895422, 662782.440250
 262.048696, 662782.440250
 265.233109, 662782.440250
 268.431501, 662782.440250
 271.652970, 662782.440250
 274.898240, 662782.440250
 278.169256, 662782.440250
 281.477326, 662782.440250
 284.807873, 662782.440250
 285.475903, 662782.440250
 286.051280, 662782.440250
 286.411294, 662782.440250
 286.716092, 662782.440250
 286.991093, 662782.440250
 287.173436, 662782.440250
 287.322885, 662782.440250
 287.469725, 662782.440250
 287.486664, 662782.440250
 287.493121, 662782.440250
 287.495574, 662782.440250
 287.498589, 662782.440250
 287.526457, 662782.440250
 287.703391, 662782.440250
 288.415040, 662782.440250
 290.733746, 662782.440250
 294.190297, 662782.440250
 297.619215, 662782.440250
 301.077196, 662782.440250
 304.558306, 662782.440250
 308.072958, 662782.440250
 311.608888, 662782.440250
 315.167385, 662782.440250
 318.748775, 662782.440250
 322.357490, 662782.440250
 325.999984, 662782.440250
 329.661416, 662782.440250
 333.359400, 662782.440250
 337.075108, 662782.440250
 340.811074, 662782.440250
 344.573736, 662782.440250
 345.332023, 662782.440250
 345.444352, 662782.440250
 345.584812, 662782.440250
 345.719005, 662782.440250
 345.860864, 662782.440250
 345.869493, 662782.440250
 345.873677, 662782.440250
 345.878321, 662782.440250
 345.924763, 662782.440250
 346.184537, 662782.440250
 347.388946, 662782.440250
 351.041326, 662782.440250
 354.880088, 662782.440250
 358.768823, 662782.440250
 362.670395, 662782.440250
 366.606798, 662782.440250
 370.570305, 662782.440250
 374.562844, 662782.440250
 378.588682, 662782.440250
 382.638794, 662782.440250
 386.709086, 662782.440250
 390.796245, 662782.440250
 394.914477, 662782.440250
 399.066442, 662782.440250
 403.240077, 662782.440250
 407.454299, 662782.440250
 408.296755, 662782.440250
 408.820900, 662782.440250
 409.373971, 662782.440250
 409.837588, 662782.440250
 410.268840, 662782.440250
 410.351273, 662782.440250
 410.441208, 662782.440250
 410.461385, 662782.440250
 410.492843, 662782.440250
 410.496650, 662782.440250
 410.499577, 662782.440250
 410.502220, 662782.440250
 410.528651, 662782.440250
 410.701630, 662782.440250
 411.474476, 662782.440250
 414.026926, 662782.440250
 418.336759, 662782.440250
 422.651544, 662782.440250
 427.014617, 662782.440250
 431.383748, 662782.440250
 435.791054, 662782.440250
 440.220224, 662782.440250
 444.689357, 662782.440250
 449.171063, 662782.440250
 453.684787, 662782.440250
 458.211863, 662782.440250
 462.784492, 662782.440250
 467.385973, 662782.440250
 472.006095, 662782.440250
 476.652829, 662782.440250
 481.339522, 662782.440250
 481.527446, 662782.440250
 481.593965, 662782.440250
 481.611876, 662782.440250
 481.623836, 662782.440250
 481.630549, 662782.440250
 481.634738, 662782.440250
 481.638510, 662782.440250
 481.676226, 662782.440250
 481.921548, 662782.440250
 483.252229, 662782.440250
 487.989228, 662782.440250
 492.746501, 662782.440250
 497.551055, 662782.440250
 502.358374, 662782.440250
 507.186751, 662782.440250
 512.053102, 662782.440250
 516.952897, 662782.440250
 521.879864, 662782.440250
 526.833936, 662782.440250
 531.810422, 662782.440250
 536.816154, 662782.440250
 541.852400, 662782.440250
 546.916691, 662782.440250
 552.015320, 662782.440250
 557.133354, 662782.440250
 558.160454, 662782.440250
 558.804818, 662782.440250
 559.336790, 662782.440250
 559.407400, 662782.440250
