eta, CL
   0.000000,    1.187093
   0.020408,    1.196023
   0.040816,    1.212844
   0.061224,    1.228500
   0.081633,    1.243229
   0.102041,    1.257186
   0.122449,    1.270485
   0.142857,    1.283216
   0.163265,    1.295456
   0.183673,    1.307269
   0.204082,    1.318716
   0.224490,    1.329857
   0.244898,    1.340756
   0.265306,    1.351492
   0.285714,    1.361723
   0.306122,    1.369091
   0.326531,    1.371255
   0.346939,    1.372099
   0.367347,    1.372581
   0.387755,    1.372679
   0.408163,    1.372382
   0.428571,    1.371685
   0.448980,    1.370582
   0.469388,    1.369067
   0.489796,    1.367128
   0.510204,    1.364746
   0.530612,    1.361903
   0.551020,    1.358575
   0.571429,    1.354730
   0.591837,    1.350325
   0.612245,    1.345307
   0.632653,    1.339609
   0.653061,    1.333147
   0.673469,    1.325815
   0.693878,    1.317481
   0.714286,    1.307978
   0.734694,    1.297091
   0.755102,    1.284544
   0.775510,    1.269977
   0.795918,    1.252915
   0.816327,    1.232717
   0.836735,    1.208508
   0.857143,    1.179061
   0.877551,    1.142604
   0.897959,    1.096485
   0.918367,    1.036537
   0.938776,    0.955741
   0.959184,    0.840890
   0.979592,    0.661098
   1.000000,    0.000000
