alpha_b, epsilon
  -4.000000,    0.622119
  -3.794872,    0.673305
  -3.589744,    0.737752
  -3.384615,    0.810526
  -3.179487,    0.883812
  -2.974359,    0.957379
  -2.769231,    1.031479
  -2.564103,    1.105837
  -2.358974,    1.180749
  -2.153846,    1.255892
  -1.948718,    1.331612
  -1.743590,    1.407539
  -1.538462,    1.484061
  -1.333333,    1.560766
  -1.128205,    1.638086
  -0.923077,    1.715564
  -0.717949,    1.793677
  -0.512821,    1.871923
  -0.307692,    1.950822
  -0.102564,    2.029830
   0.102564,    2.109508
   0.307692,    2.189272
   0.512821,    2.269722
   0.717949,    2.350234
   0.923077,    2.431449
   1.128205,    2.512703
   1.333333,    2.594674
   1.538462,    2.676668
   1.743590,    2.759381
   1.948718,    2.842121
   2.153846,    2.925550
   2.358974,    3.009028
   2.564103,    3.093165
   2.769231,    3.177371
   2.974359,    3.262206
   3.179487,    3.347129
   3.384615,    3.432651
   3.589744,    3.518281
   3.794872,    3.604481
   4.000000,    3.677418
