alpha body, CM
  -4.000000,   -0.253457
  -3.517241,   -0.241374
  -3.034483,   -0.229028
  -2.551724,   -0.216432
  -2.068966,   -0.203585
  -1.586207,   -0.190486
  -1.103448,   -0.177143
  -0.620690,   -0.163544
  -0.137931,   -0.149697
   0.344828,   -0.135584
   0.827586,   -0.121220
   1.310345,   -0.106598
   1.793103,   -0.091724
   2.275862,   -0.069380
   2.758621,   -0.054172
   3.241379,   -0.038708
   3.724138,   -0.022989
   4.206897,   -0.007016
   4.689655,    0.009218
   5.172414,    0.025713
   5.655172,    0.042472
   6.137931,    0.059487
   6.620690,    0.076762
   7.103448,    0.094295
   7.586207,    0.112091
   8.068966,    0.126831
   8.551724,    0.131726
   9.034483,    0.135580
   9.517241,    0.138697
  10.000000,    0.140033
