alpha body, CM
  -4.000000,   -0.026199
  -3.517241,   -0.013757
  -3.034483,   -0.001068
  -2.551724,    0.011856
  -2.068966,    0.025014
  -1.586207,    0.038408
  -1.103448,    0.052030
  -0.620690,    0.065891
  -0.137931,    0.079984
   0.344828,    0.094328
   0.827586,    0.108906
   1.310345,    0.123725
   1.793103,    0.138781
   2.275862,    0.161291
   2.758621,    0.176647
   3.241379,    0.192244
   3.724138,    0.208079
   4.206897,    0.224153
   4.689655,    0.240471
   5.172414,    0.257034
   5.655172,    0.273844
   6.137931,    0.290893
   6.620690,    0.308187
   7.103448,    0.325722
   7.586207,    0.343505
   8.068966,    0.358214
   8.551724,    0.363062
   9.034483,    0.366853
   9.517241,    0.369891
  10.000000,    0.371132
