alpha body, CM
  -4.000000,    0.640451
  -3.517241,    0.653864
  -3.034483,    0.667478
  -2.551724,    0.681280
  -2.068966,    0.695269
  -1.586207,    0.709449
  -1.103448,    0.723810
  -0.620690,    0.738364
  -0.137931,    0.753104
   0.344828,    0.768048
   0.827586,    0.783179
   1.310345,    0.798505
   1.793103,    0.814021
   2.275862,    0.836943
   2.758621,    0.852667
   3.241379,    0.868583
   3.724138,    0.884691
   4.206897,    0.900991
   4.689655,    0.917488
   5.172414,    0.934184
   5.655172,    0.951079
   6.137931,    0.968168
   6.620690,    0.985454
   7.103448,    1.002934
   7.586207,    1.020615
   8.068966,    1.035175
   8.551724,    1.039828
   9.034483,    1.043377
   9.517241,    1.046126
  10.000000,    1.047030
