alpha body, CM
  -4.000000,    0.424279
  -3.517241,    0.437409
  -3.034483,    0.450754
  -2.551724,    0.464303
  -2.068966,    0.478054
  -1.586207,    0.492009
  -1.103448,    0.506160
  -0.620690,    0.520519
  -0.137931,    0.535078
   0.344828,    0.549856
   0.827586,    0.564836
   1.310345,    0.580025
   1.793103,    0.595419
   2.275862,    0.618235
   2.758621,    0.633865
   3.241379,    0.649704
   3.724138,    0.665749
   4.206897,    0.682000
   4.689655,    0.698464
   5.172414,    0.715140
   5.655172,    0.732032
   6.137931,    0.749131
   6.620690,    0.766442
   7.103448,    0.783962
   7.586207,    0.801697
   8.068966,    0.816327
   8.551724,    0.821064
   9.034483,    0.824712
   9.517241,    0.827574
  10.000000,    0.828607
