alpha body, CM
  -4.000000,    0.608053
  -3.517241,    0.621448
  -3.034483,    0.635045
  -2.551724,    0.648833
  -2.068966,    0.662810
  -1.586207,    0.676979
  -1.103448,    0.691332
  -0.620690,    0.705879
  -0.137931,    0.720614
   0.344828,    0.735554
   0.827586,    0.750684
   1.310345,    0.766011
   1.793103,    0.781529
   2.275862,    0.804456
   2.758621,    0.820186
   3.241379,    0.836110
   3.724138,    0.852228
   4.206897,    0.868540
   4.689655,    0.885050
   5.172414,    0.901761
   5.655172,    0.918674
   6.137931,    0.935782
   6.620690,    0.953089
   7.103448,    0.970592
   7.586207,    0.988297
   8.068966,    1.002884
   8.551724,    1.007566
   9.034483,    1.011145
   9.517241,    1.013926
  10.000000,    1.014864
