alpha body, CM
  -4.000000,    0.830712
  -3.517241,    0.844337
  -3.034483,    0.858150
  -2.551724,    0.872140
  -2.068966,    0.886304
  -1.586207,    0.900646
  -1.103448,    0.915156
  -0.620690,    0.929847
  -0.137931,    0.944711
   0.344828,    0.959766
   0.827586,    0.974997
   1.310345,    0.990409
   1.793103,    1.005998
   2.275862,    1.028982
   2.758621,    1.044753
   3.241379,    1.060705
   3.724138,    1.076836
   4.206897,    1.093146
   4.689655,    1.109641
   5.172414,    1.126321
   5.655172,    1.143189
   6.137931,    1.160237
   6.620690,    1.177470
   7.103448,    1.194884
   7.586207,    1.212486
   8.068966,    1.226955
   8.551724,    1.231505
   9.034483,    1.234937
   9.517241,    1.237557
  10.000000,    1.238320
