alpha body, CM
  -4.000000,    0.685790
  -3.517241,    0.699234
  -3.034483,    0.712876
  -2.551724,    0.726704
  -2.068966,    0.740717
  -1.586207,    0.754917
  -1.103448,    0.769295
  -0.620690,    0.783864
  -0.137931,    0.798616
   0.344828,    0.813568
   0.827586,    0.828706
   1.310345,    0.844036
   1.793103,    0.859552
   2.275862,    0.882473
   2.758621,    0.898192
   3.241379,    0.914101
   3.724138,    0.930199
   4.206897,    0.946486
   4.689655,    0.962967
   5.172414,    0.979644
   5.655172,    0.996519
   6.137931,    1.013583
   6.620690,    1.030843
   7.103448,    1.048293
   7.586207,    1.065942
   8.068966,    1.080467
   8.551724,    1.085083
   9.034483,    1.088591
   9.517241,    1.091297
  10.000000,    1.092156
