alpha body, CM
  -4.000000,    0.201205
  -3.517241,    0.214000
  -3.034483,    0.227026
  -2.551724,    0.240270
  -2.068966,    0.253732
  -1.586207,    0.267415
  -1.103448,    0.281309
  -0.620690,    0.295426
  -0.137931,    0.309760
   0.344828,    0.324327
   0.827586,    0.339113
   1.310345,    0.354123
   1.793103,    0.369354
   2.275862,    0.392023
   2.758621,    0.407522
   3.241379,    0.423245
   3.724138,    0.439190
   4.206897,    0.455357
   4.689655,    0.471753
   5.172414,    0.488377
   5.655172,    0.505231
   6.137931,    0.522309
   6.620690,    0.539615
   7.103448,    0.557146
   7.586207,    0.574908
   8.068966,    0.589580
   8.551724,    0.594375
   9.034483,    0.598097
   9.517241,    0.601049
  10.000000,    0.602187
