eta, Ccl
   0.000000,    3.580739
   0.020408,    3.526619
   0.040816,    3.521930
   0.061224,    3.512857
   0.081633,    3.499045
   0.102041,    3.480318
   0.122449,    3.456589
   0.142857,    3.427815
   0.163265,    3.393989
   0.183673,    3.355120
   0.204082,    3.311240
   0.224490,    3.262401
   0.244898,    3.208686
   0.265306,    3.150237
   0.285714,    3.087297
   0.306122,    3.020308
   0.326531,    2.948246
   0.346939,    2.864053
   0.367347,    2.807898
   0.387755,    2.737805
   0.408163,    2.667086
   0.428571,    2.595602
   0.448980,    2.523349
   0.469388,    2.450378
   0.489796,    2.376768
   0.510204,    2.302594
   0.530612,    2.227954
   0.551020,    2.152960
   0.571429,    2.077707
   0.591837,    2.002288
   0.612245,    1.926788
   0.632653,    1.851287
   0.653061,    1.775858
   0.673469,    1.700561
   0.693878,    1.625447
   0.714286,    1.550547
   0.734694,    1.475875
   0.755102,    1.401412
   0.775510,    1.327103
   0.795918,    1.252834
   0.816327,    1.178411
   0.836735,    1.103514
   0.857143,    1.027632
   0.877551,    0.949947
   0.897959,    0.869124
   0.918367,    0.782925
   0.938776,    0.687399
   0.959184,    0.574992
   0.979592,    0.428456
   1.000000,    0.000000
