eta, Ccl
   0.000000,    2.599547
   0.020408,    2.560202
   0.040816,    2.556638
   0.061224,    2.549791
   0.081633,    2.539401
   0.102041,    2.525337
   0.122449,    2.507530
   0.142857,    2.485942
   0.163265,    2.460555
   0.183673,    2.431364
   0.204082,    2.398372
   0.224490,    2.361595
   0.244898,    2.321060
   0.265306,    2.276827
   0.285714,    2.229010
   0.306122,    2.177838
   0.326531,    2.122426
   0.346939,    2.057414
   0.367347,    2.011042
   0.387755,    1.953669
   0.408163,    1.895218
   0.428571,    1.835768
   0.448980,    1.775442
   0.469388,    1.714375
   0.489796,    1.652704
   0.510204,    1.590549
   0.530612,    1.528044
   0.551020,    1.465329
   0.571429,    1.402525
   0.591837,    1.339745
   0.612245,    1.277099
   0.632653,    1.214689
   0.653061,    1.152611
   0.673469,    1.090956
   0.693878,    1.029807
   0.714286,    0.969239
   0.734694,    0.909318
   0.755102,    0.850098
   0.775510,    0.791615
   0.795918,    0.733886
   0.816327,    0.676892
   0.836735,    0.620571
   0.857143,    0.564786
   0.877551,    0.509283
   0.897959,    0.453611
   0.918367,    0.396970
   0.938776,    0.337894
   0.959184,    0.273496
   0.979592,    0.196991
   1.000000,    0.000000
