CLe, Neutral Point
  -0.047525,    0.201143
   0.043215,    0.211650
   0.133808,    0.232832
   0.224244,    0.254204
   0.314518,    0.275289
   0.404636,    0.295319
   0.494612,    0.314858
   0.584435,    0.331728
   0.674100,    0.341819
   0.763962,    0.361622
   0.853376,    0.384244
   0.942639,    0.395816
   1.031752,    0.407156
   1.120709,    0.418457
   1.209511,    0.429443
   1.298155,    0.439768
   1.386649,    0.449196
   1.474997,    0.458270
   1.563193,    0.467378
   1.651234,    0.476063
   1.739114,    0.485422
   1.825406,    0.499737
   1.906108,    0.523137
   1.977728,    0.561561
