CLe, Neutral Point
  -0.048665,    0.209457
   0.042520,    0.218907
   0.133582,    0.237937
   0.224514,    0.257093
   0.315310,    0.275987
   0.405973,    0.293982
   0.496517,    0.311535
   0.586930,    0.326368
   0.677207,    0.334512
   0.767706,    0.352276
   0.857778,    0.372867
   0.947718,    0.382608
   1.037528,    0.392113
   1.127203,    0.401567
   1.216742,    0.410719
   1.306144,    0.419264
   1.395413,    0.427001
   1.484553,    0.434402
   1.573560,    0.441795
   1.662429,    0.448779
   1.751155,    0.456338
   1.838297,    0.468267
   1.919821,    0.488174
   1.992204,    0.521431
   2.052858,    0.586645
