CLe, Neutral Point
  -0.049584,    0.203581
   0.053951,    0.214543
   0.157294,    0.236051
   0.260454,    0.257429
   0.363414,    0.278842
   0.466176,    0.299780
   0.568743,    0.316875
   0.671122,    0.329932
   0.773658,    0.351090
   0.875704,    0.372511
   0.977547,    0.385295
   1.079187,    0.397904
   1.180614,    0.410269
   1.281834,    0.421731
   1.382856,    0.432609
   1.483675,    0.443300
   1.584282,    0.453678
   1.684682,    0.463593
   1.784871,    0.474001
   1.883675,    0.489026
   1.975962,    0.513492
   2.056865,    0.554904
   2.122927,    0.639034
   2.172090,    0.839515
   2.203695,    1.465139
   2.218467,  491.776909
   2.218506,  488.845060
   2.207283,   -3.392667
   2.189626,   -2.911715
   2.171622,   -3.742526
