CLe, Neutral Point
  -0.050983,    0.212783
   0.055061,    0.223158
   0.160911,    0.243562
   0.266576,    0.263909
   0.372037,    0.284345
   0.477295,    0.304403
   0.582351,    0.320869
   0.687213,    0.333548
   0.792231,    0.353987
   0.896744,    0.374715
   1.001042,    0.387264
   1.105125,    0.399696
   1.208984,    0.411943
   1.312622,    0.423364
   1.416047,    0.434260
   1.519255,    0.445015
   1.622235,    0.455506
   1.724991,    0.465587
   1.827518,    0.476145
   1.928614,    0.491012
   2.023026,    0.514679
   2.105773,    0.554217
   2.173321,    0.634025
   2.223570,    0.823804
   2.255850,    1.416226
   2.270907, -2614.044341
   2.270900, -2616.811841
   2.259383,   -3.170997
   2.241300,   -2.720355
   2.222873,   -3.503511
   2.211179,   -4.246855
