CLe, Neutral Point
  -0.047924,    0.214066
   0.051076,    0.225089
   0.149918,    0.246632
   0.248611,    0.267879
   0.347144,    0.288995
   0.445517,    0.309479
   0.543736,    0.325698
   0.641808,    0.337386
   0.740065,    0.357758
   0.837890,    0.378325
   0.935559,    0.389393
   1.033071,    0.400147
   1.130423,    0.410542
   1.227618,    0.419965
   1.324664,    0.428724
   1.421558,    0.437161
   1.518297,    0.445176
   1.614882,    0.452633
   1.711313,    0.460516
   1.806464,    0.473041
