CLe, Neutral Point
  -0.047481,    0.202772
   0.052284,    0.214714
   0.151858,    0.238061
   0.251253,    0.261146
   0.350455,    0.284169
   0.449466,    0.306545
   0.548291,    0.324655
   0.646940,    0.338301
   0.745745,    0.360607
   0.844085,    0.383123
   0.942238,    0.396238
   1.040205,    0.409075
   1.137978,    0.421563
   1.235566,    0.433014
   1.332975,    0.443779
   1.430203,    0.454274
   1.527246,    0.464368
   1.624105,    0.473906
   1.720780,    0.483955
   1.816140,    0.499119
   1.905234,    0.524762
   1.983365,    0.569099
