CLe, Neutral Point
  -0.047474,    0.202801
   0.052278,    0.214747
   0.151839,    0.238101
   0.251221,    0.261192
   0.350409,    0.284220
   0.449407,    0.306602
   0.548219,    0.324716
   0.646855,    0.338364
   0.745646,    0.360673
   0.843973,    0.383193
   0.942113,    0.396309
   1.040067,    0.409147
   1.137828,    0.421635
   1.235402,    0.433086
   1.332798,    0.443850
   1.430014,    0.454344
   1.527044,    0.464437
   1.623891,    0.473973
   1.720553,    0.484021
   1.815901,    0.499185
   1.904984,    0.524832
   1.983105,    0.569178
