CLe, Neutral Point
  -0.049588,    0.203600
   0.053955,    0.214560
   0.157305,    0.236064
   0.260472,    0.257439
   0.363440,    0.278849
   0.466210,    0.299784
   0.568784,    0.316877
   0.671171,    0.329932
   0.773714,    0.351088
   0.875768,    0.372507
   0.977619,    0.385290
   1.079266,    0.397898
   1.180700,    0.410263
   1.281928,    0.421725
   1.382957,    0.432603
   1.483783,    0.443294
   1.584398,    0.453673
   1.684805,    0.463588
   1.785001,    0.473997
   1.883812,    0.489021
   1.976106,    0.513484
   2.057014,    0.554891
   2.123080,    0.639006
   2.172247,    0.839453
   2.203854,    1.464971
   2.218627,  493.390617
   2.218666,  490.459290
   2.207442,   -3.391975
   2.189783,   -2.911119
   2.171778,   -3.741778
