CD, CL
   0.011051,    0.000000
   0.012053,    0.070063
   0.015134,    0.140126
   0.020213,    0.210189
   0.027333,    0.280252
   0.036495,    0.350315
   0.047711,    0.420379
   0.060951,    0.490442
   0.076277,    0.560756
   0.093955,    0.632323
   0.114313,    0.705916
   0.137605,    0.781844
   0.163979,    0.859953
   0.193413,    0.939619
   0.225629,    1.019756
   0.260005,    1.098809
   0.295521,    1.174759
   0.330719,    1.245122
   0.363012,    1.306947
   0.390080,    1.356818
