OEW (kg), LTO_Nox (kg)
12715.785023,    1.260288
12715.635816,    1.260289
12715.947427,    1.260289
12715.851960,    1.260288
12716.390408,    1.260295
12715.883432,    1.260288
12715.749283,    1.260289
12714.903763,    1.260283
12714.856306,    1.260283
12711.954896,    1.260295
12715.906417,    1.260290
12713.884137,    1.260282
12713.871158,    1.260282
12713.830051,    1.260282
12716.434865,    1.260295
12716.249727,    1.260292
12715.033143,    1.260284
12713.976089,    1.260283
12714.459248,    1.260282
12717.071762,    1.260304
12712.548076,    1.260296
12712.557789,    1.260296
12713.909029,    1.260281
12713.854245,    1.260282
12715.300241,    1.260287
12716.532919,    1.260295
12712.637089,    1.260293
12711.376498,    1.260306
12713.753907,    1.260282
12715.205291,    1.260286
12712.979664,    1.260287
12715.280754,    1.260287
12713.803356,    1.260282
12715.167503,    1.260285
12720.578976,    1.260365
12712.477048,    1.260298
12713.272795,    1.260285
12720.442172,    1.260362
12713.370311,    1.260283
12711.386809,    1.260306
12711.392648,    1.260306
12712.502530,    1.260297
12713.222282,    1.260288
12711.246897,    1.260309
12717.740019,    1.260312
12711.459615,    1.260304
12711.902079,    1.260303
12714.291371,    1.260282
12714.055386,    1.260281
12711.312855,    1.260313
12719.696369,    1.260346
12712.027182,    1.260295
12712.599750,    1.260301
12717.593809,    1.260310
12719.909146,    1.260350
12717.481701,    1.260307
12713.467154,    1.260283
12715.156791,    1.260287
12713.559233,    1.260282
12717.116900,    1.260302
12711.148759,    1.260338
12711.412290,    1.260306
12715.678855,    1.260289
12717.312363,    1.260305
12711.794522,    1.260299
12720.888734,    1.260372
12711.159165,    1.260335
12716.993910,    1.260301
12712.604025,    1.260301
12711.217913,    1.260335
12714.517879,    1.260281
12712.005815,    1.260295
12717.093257,    1.260302
12711.465375,    1.260304
12713.117952,    1.260287
12711.518855,    1.260304
12711.405387,    1.260305
12714.165103,    1.260281
12711.820635,    1.260297
12715.667702,    1.260293
12712.162199,    1.260299
12712.768582,    1.260290
12711.432289,    1.260305
12713.121179,    1.260286
12713.933702,    1.260281
12712.830382,    1.260287
12711.222124,    1.260335
12711.134919,    1.260338
12714.725557,    1.260282
12721.660775,    1.260390
12714.201548,    1.260280
12714.325735,    1.260281
12717.371790,    1.260305
12714.215235,    1.260281
12714.704170,    1.260282
12712.712591,    1.260289
12715.619430,    1.260293
12713.063350,    1.260291
12711.121009,    1.260340
12714.307741,    1.260281
12711.441161,    1.260307
12712.494470,    1.260301
12714.534649,    1.260281
12714.088689,    1.260281
12714.379322,    1.260281
12714.126058,    1.260280
12717.576393,    1.260308
12717.949832,    1.260314
12714.414061,    1.260281
12711.663849,    1.260306
12721.245928,    1.260380
12718.078321,    1.260316
12715.669131,    1.260293
12712.210598,    1.260295
12714.078303,    1.260281
12713.543230,    1.260282
12714.468884,    1.260281
12717.846312,    1.260312
12712.242825,    1.260292
12713.421622,    1.260285
12711.508314,    1.260303
12719.309252,    1.260341
12710.709374,    1.260365
12718.674475,    1.260327
12714.358217,    1.260281
12712.879733,    1.260285
12720.280662,    1.260358
12712.674476,    1.260289
12714.047521,    1.260280
12721.092532,    1.260376
12711.560250,    1.260302
12712.519803,    1.260297
12718.704903,    1.260327
12719.603182,    1.260348
12718.466048,    1.260322
12711.115161,    1.260340
12710.616616,    1.260366
12714.166052,    1.260281
12711.718171,    1.260305
12711.728876,    1.260301
12713.611312,    1.260283
12713.867745,    1.260282
12710.717685,    1.260349
12710.691678,    1.260365
12711.089035,    1.260344
12711.094387,    1.260344
