Ground Roll distance, Vertical Forces
 361.850127, 492316.465756
 371.304282, 490235.495230
 438.389398, 475660.379126
 451.685582, 472810.984164
 464.941911, 469982.960128
 478.158566, 467176.095882
 491.335725, 464390.182896
 493.966433, 463835.496281
 494.176821, 463791.157150
 494.262836, 463773.030524
 494.304892, 463764.168055
 494.350545, 463754.547623
 494.371726, 463750.084130
 494.380399, 463748.256541
 494.381469, 463748.007579
 494.382526, 463747.563760
 494.393090, 463743.125570
 494.498726, 463698.743661
 495.554815, 463254.923996
 506.087840, 458816.732088
 570.485358, 431214.243909
 632.856122, 403697.491024
 693.141742, 376347.310458
 751.284185, 349248.396427
 807.225950, 322488.938589
 860.910259, 296160.195824
 912.281247, 270356.005901
 961.284163, 245172.232526
1007.865573, 220706.152638
1051.973567, 197055.788082
1093.557966, 174319.187265
1132.570531, 152593.663717
1168.965167, 131974.999877
1202.698128, 112556.625654
1233.728217, 94428.782466
1262.016974, 77677.684418
1287.528860, 62384.689000
1310.231429, 48625.490240
1330.095492, 36469.347377
1347.095258, 25978.362103
1361.208471, 17206.816943
1372.416521, 10200.586638
1380.704546, 4996.633306
1386.061504, 1622.594834
1388.480238,   96.474290
1388.633049,    0.000000
