Time, xTDot = m(Vc - V)
   0.000000, 518045.555556
   0.500000, 510343.578184
   1.000000, 494391.374452
   1.500000, 475610.012595
   2.000000, 456072.304092
   2.500000, 436567.593470
   3.000000, 417393.204341
   3.500000, 398657.822233
   4.000000, 380397.797301
   4.500000, 362621.735123
   5.000000, 345327.597884
   5.500000, 328509.267220
   6.000000, 312159.066600
   6.500000, 296268.734165
   7.000000, 280829.800937
   7.500000, 265833.740584
   8.000000, 251272.031167
   8.500000, 237136.182782
   9.000000, 223417.751816
   9.500000, 210108.349791
  10.000000, 197199.649891
  10.500000, 184683.392357
  11.000000, 172551.389253
  11.500000, 160795.528760
  12.000000, 149407.779111
  12.500000, 138380.192185
  13.000000, 127704.906790
  13.500000, 117374.151648
  14.000000, 107380.248094
  14.500000, 97715.612505
  15.000000, 88372.758468
  15.500000, 81816.491310
  16.000000, 80782.422863
  16.500000, 84663.382514
  17.000000, 92433.723834
  17.500000, 103008.698128
  18.000000, 115422.348422
  18.500000, 128884.990560
  19.000000, 142783.310699
  19.500000, 156659.289213
  20.000000, 170184.907663
  20.500000, 183138.700691
  21.000000, 195385.197831
  21.500000, 206856.705423
  22.000000, 217536.864198
  22.500000, 227445.853327
  23.000000, 236627.455121
  23.500000, 245138.290805
  24.000000, 253039.430152
  24.500000, 260390.373518
  25.000000, 267245.200622
  25.500000, 273650.533990
  26.000000, 279644.895222
  26.500000, 285259.031267
  27.000000, 290516.835215
  27.500000, 295436.559136
  28.000000, 300032.096552
  28.500000, 304314.186705
  29.000000, 308291.455009
  29.500000, 311971.251702
  30.000000, 315360.284151
  30.500000, 318465.059567
  31.000000, 321292.166550
  31.500000, 323848.428543
  32.000000, 326140.962025
  32.500000, 328177.169137
  33.000000, 329964.689631
  33.500000, 331511.331730
  34.000000, 332824.996288
  34.500000, 333913.603992
  35.000000, 334785.031520
  35.500000, 335447.059560
  36.000000, 335907.333412
  36.500000, 336173.335470
  37.000000, 336252.368008
  37.500000, 336151.544298
  38.000000, 335877.786061
  38.500000, 335437.825346
  39.000000, 334838.209254
  39.500000, 334085.306228
  40.000000, 333185.312940
  40.500000, 332144.261139
  41.000000, 330968.024025
  41.500000, 329662.321958
  42.000000, 328232.727414
  42.500000, 326684.669224
  43.000000, 325023.436177
  43.500000, 323254.180090
  44.000000, 321381.918486
  44.500000, 319411.536974
  45.000000, 317347.791437
  45.500000, 315195.310102
  46.000000, 312958.595558
  46.500000, 310642.026757
  47.000000, 308249.861028
  47.500000, 305786.236109
  48.000000, 303255.172214
  48.500000, 300660.574126
  49.000000, 298006.233309
  49.500000, 295295.830036
  50.000000, 292532.935526
  50.500000, 289721.014075
  51.000000, 286863.425182
  51.500000, 283963.425666
  52.000000, 281024.171754
  52.500000, 278048.721163
  53.000000, 275040.035147
  53.500000, 272000.980528
  54.000000, 268934.331695
  54.500000, 265842.772585
  55.000000, 262728.898632
  55.500000, 259595.218694
  56.000000, 256444.156958
  56.500000, 253278.054811
  57.000000, 250099.172697
  57.500000, 246909.691941
  58.000000, 243711.716553
  58.500000, 240507.275004
  59.000000, 237298.321987
  59.500000, 234086.740136
  60.000000, 230874.341741
  60.500000, 227662.870421
  61.000000, 224454.002785
  61.500000, 221249.350060
  62.000000, 218050.459700
  62.500000, 214858.816964
  63.000000, 211675.846478
  63.500000, 208502.913765
  64.000000, 205341.326752
  64.500000, 202192.337255
  65.000000, 199057.142434
  65.500000, 195936.886234
  66.000000, 192832.660784
  66.500000, 189745.507794
  67.000000, 186676.419904
  67.500000, 183626.342032
  68.000000, 180596.172677
  68.500000, 177586.765213
  69.000000, 174598.929155
  69.500000, 171633.431396
  70.000000, 168690.997429
  70.500000, 165772.312538
  71.000000, 162878.022975
  71.500000, 160008.737103
  72.000000, 157165.026526
  72.500000, 154347.427189
  73.000000, 151556.440464
  73.500000, 148792.534204
  74.000000, 146056.143784
  74.500000, 143347.673115
  75.000000, 140667.495638
  75.500000, 138015.955296
  76.000000, 135393.367489
  76.500000, 132800.020002
  77.000000, 130236.173917
  77.500000, 127702.064504
  78.000000, 125197.902091
  78.500000, 122723.872914
  79.000000, 120280.139950
  79.500000, 117866.843729
  80.000000, 115484.103124
  80.500000, 113132.016131
  81.000000, 110810.660620
  81.500000, 108520.095076
  82.000000, 106260.359319
  82.500000, 104031.475204
  83.000000, 101833.447310
  83.500000, 99666.263603
  84.000000, 97529.896095
  84.500000, 95424.301470
  85.000000, 93349.421710
  85.500000, -313734.268165
  86.000000, -309924.258924
  86.500000, -307632.135962
  87.000000, -308080.954706
  87.500000, -311276.700926
  88.000000, -316725.996505
  88.500000, -323776.092418
  89.000000, -331786.088735
  89.500000, -340209.075023
