Time, xTDot = m(Vc - V)
  90.000000, -348622.121915
  90.500000, -356725.943652
  91.000000, -364328.820009
  91.500000, -371324.407148
  92.000000, -377669.240866
  92.500000, -383362.932952
  93.000000, -388432.212497
  93.500000, -392918.889185
  94.000000, -396871.286735
  94.500000, -400338.504174
  95.000000, -403366.855011
  95.500000, -405997.909615
  96.000000, -408267.667601
  96.500000, -410206.487180
  97.000000, -411839.486740
  97.500000, -413187.207541
  98.000000, -414266.386432
  98.500000, -415090.735406
  99.000000, -415671.662469
  99.500000, -416018.896982
 100.000000, -416141.003815
 100.500000, -416045.785367
 101.000000, -415740.579995
 101.500000, -415232.470755
 102.000000, -414528.420678
 102.500000, -413635.350845
 103.000000, -412560.176328
 103.500000, -411309.812939
 104.000000, -409891.165395
 104.500000, -408311.105094
 105.000000, -406576.443539
 105.500000, -404693.905547
 106.000000, -402670.104867
 106.500000, -400511.523663
 107.000000, -398224.496430
 107.500000, -395815.198344
 108.000000, -393289.637680
 108.500000, -390653.651699
 109.000000, -387912.905372
 109.500000, -385072.892260
 110.000000, -382138.936990
 110.500000, -379116.198772
 111.000000, -376009.675590
 111.500000, -372824.208714
 112.000000, -369564.487310
 112.500000, -366235.052996
 113.000000, -362840.304229
 113.500000, -359384.500491
 114.000000, -355871.766228
 114.500000, -352306.094562
 115.000000, -348691.350793
 115.500000, -345031.275702
 116.000000, -341329.488691
 116.500000, -337589.490793
 117.000000, -333814.667560
 117.500000, -330008.291858
 118.000000, -326173.526593
 118.500000, -322313.427361
 119.000000, -318430.945058
 119.500000, -314528.928424
 120.000000, -310610.126560
 120.500000, -306677.191391
 121.000000, -302732.680092
 121.500000, -298779.057474
 122.000000, -294818.698327
 122.500000, -290853.889722
 123.000000, -286886.833271
 123.500000, -282919.647345
 124.000000, -278954.369246
 124.500000, -274992.957337
 125.000000, -271037.293131
 125.500000, -267089.183334
 126.000000, -263150.361844
 126.500000, -259222.491709
 127.000000, -255307.167046
 127.500000, -251405.914913
 128.000000, -247520.197142
 128.500000, -243651.412135
 129.000000, -239800.896616
 129.500000, -235969.927348
 130.000000, -232159.722808
 130.500000, -228371.444830
 131.000000, -224606.200207
 131.500000, -220865.042258
 132.000000, -217148.972360
 132.500000, -213458.941446
 133.000000, -209795.851471
 133.500000, -206160.556838
 134.000000, -202553.865796
 134.500000, -198976.541808
 135.000000, -195429.304885
 135.500000, -191912.832885
 136.000000, -188427.762789
 136.500000, -184974.691943
 137.000000, -181554.179273
 137.500000, -178166.746469
 138.000000, -174812.879141
 138.500000, -171493.027951
 139.000000, -168207.609717
 139.500000, -164957.008487
 140.000000, -161741.576589
 140.500000, -158561.635661
 141.000000, -155417.477647
 141.500000, -152309.365777
 142.000000, -149237.535516
 142.500000, -146202.195499
 143.000000, -143203.528432
 143.500000, -140241.691977
 144.000000, -137316.819620
 144.500000, -134429.021505
 145.000000, -131578.385258
 145.500000, -128764.976786
 146.000000, -125988.841057
 146.500000, -123250.002859
 147.000000, -120548.467539
 147.500000, -117884.221731
 148.000000, -115257.234050
 148.500000, -112667.455788
 149.000000, -110114.821572
 149.500000, -107599.250022
 150.000000, -105120.644380
 150.500000, -102678.893129
 151.000000, -100273.870593
 151.500000, -97905.437523
 152.000000, -95573.441668
 152.500000, -93277.718324
 153.000000, -91018.090880
 153.500000, -88794.371340
 154.000000, -86606.360834
 154.500000, -84453.850115
 155.000000, -82336.620045
 155.500000, -80254.442061
 156.000000, -78207.078636
 156.500000, -76194.283721
 157.000000, -74215.803179
 157.500000, -72271.375204
 158.000000, -70360.730730
 158.500000, -68483.593826
 159.000000, -66639.682083
 159.500000, -64828.706986
 160.000000, -63050.374280
 160.500000, -61304.384319
 161.000000, -59590.432412
 161.500000, -57908.209151
 162.000000, -56257.400737
 162.500000, -54637.689290
 163.000000, -53048.753154
 163.500000, -51490.267187
 164.000000, -49961.903051
 164.500000, -48463.329481
 165.000000, -46994.212558
 165.500000, -45554.215967
 166.000000, -44143.001243
 166.500000, -42760.228019
 167.000000, -41405.554255
 167.500000, -40078.636469
 168.000000, -38779.129955
 168.500000, -37506.688994
 169.000000, -36260.967060
 169.500000, -35041.617016
 170.000000, -33848.291305
 170.500000, -32680.642136
 171.000000, -31538.321662
 171.500000, -30420.982147
 172.000000, -29328.276135
 172.500000, -28259.856608
 173.000000, -27215.377138
 173.500000, -26194.492035
 174.000000, -25196.856489
 174.500000, -24222.126705
 175.000000, -23269.960036
 175.500000, -22340.015105
 176.000000, -21431.951928
 176.500000, -20545.432028
 177.000000, -19680.118547
 177.500000, -18835.676350
 178.000000, -18011.772129
 178.500000, -17208.074496
 179.000000, -16424.254078
 179.500000, -15659.983604
 180.000000, -14914.937988
