Ground Distance, 
   0.000000,   15.240000
 252.340112,    2.015415
 260.891845,    1.592197
 269.443578,    1.218871
 277.995311,    0.895399
 286.547044,    0.621747
 295.098777,    0.397888
 303.650511,    0.223799
 312.202244,    0.099462
 320.753977,    0.024865
 329.305710,    0.000000
 330.036965,    0.000000
 337.341659,    0.000000
 387.111829,    0.000000
 396.985915,    0.000000
 406.833519,    0.000000
 416.654711,    0.000000
 426.449564,    0.000000
 426.840811,    0.000000
 427.623179,    0.000000
 427.936080,    0.000000
 428.068922,    0.000000
 428.334592,    0.000000
 428.356600,    0.000000
 428.375416,    0.000000
 428.385742,    0.000000
 428.390962,    0.000000
 428.392987,    0.000000
 428.394234,    0.000000
 428.394872,    0.000000
 428.395194,    0.000000
 428.395504,    0.000000
 428.398609,    0.000000
 428.429654,    0.000000
 428.740045,    0.000000
 431.838011,    0.000000
 462.196120,    0.000000
 491.857552,    0.000000
 518.975428,    0.000000
 543.505958,    0.000000
 565.518376,    0.000000
 585.114144,    0.000000
 602.414089,    0.000000
 607.036570,    0.000000
 610.703793,    0.000000
 612.989054,    0.000000
 613.491423,    0.000000
 614.055860,    0.000000
 619.580566,    0.000000
 627.176617,    0.000000
 631.771942,    0.000000
 632.896607,    0.000000
 633.907259,    0.000000
 643.414800,    0.000000
 646.138806,    0.000000
 648.055253,    0.000000
 650.374251,    0.000000
 650.735909,    0.000000
 651.074961,    0.000000
 654.344988,    0.000000
 662.364425,    0.000000
 668.647339,    0.000000
 669.112934,    0.000000
 669.399670,    0.000000
 669.509769,    0.000000
 669.620507,    0.000000
 670.669478,    0.000000
 674.109919,    0.000000
 674.677497,    0.000000
 674.891060,    0.000000
 675.032173,    0.000000
 675.122358,    0.000000
 675.170418,    0.000000
 675.178021,    0.000000
 675.181728,    0.000000
 675.183045,    0.000000
 675.183586,    0.000000
 675.183691,    0.000000
 675.183698,    0.000000
