alpha, CM
  -4.000000,   -0.154296
  -3.172414,   -0.154297
  -2.344828,   -0.154297
  -1.517241,   -0.154298
  -0.689655,   -0.154299
   0.137931,   -0.153862
   0.965517,   -0.153907
   1.793103,   -0.153951
   2.620690,   -0.153996
   3.448276,   -0.154041
   4.275862,   -0.154086
   5.103448,   -0.154131
   5.931034,   -0.154175
   6.758621,   -0.154220
   7.586207,   -0.154265
   8.413793,   -0.154310
   9.241379,   -0.154354
  10.068966,   -0.154399
  10.896552,   -0.154444
  11.724138,   -0.154489
  12.551724,   -0.154534
  13.379310,   -0.154578
  14.206897,   -0.154623
  15.034483,   -0.154668
  15.862069,   -0.154713
  16.689655,   -0.154758
  17.517241,   -0.154802
  18.344828,   -0.154847
  19.172414,   -0.154892
  20.000000,   -0.154937
