Xcg/c, Mass
 103.360603, 28874.188166
  99.142869, 29086.188166
  95.169512, 29298.188166
  91.435265, 29510.188166
  87.935012, 29722.188166
  84.663782, 29934.188166
  81.616741, 30146.188166
  78.789195, 30358.188166
  76.176575, 30570.188166
  73.774443, 30782.188166
  71.578477, 30994.188166
  69.584478, 31206.188166
  67.788355, 31418.188166
  66.186131, 31630.188166
  64.773932, 31842.188166
  63.547989, 32054.188166
  62.504630, 32266.188166
  61.640279, 32478.188166
  60.951453, 32690.188166
  60.434761, 32902.188166
  60.086896, 33114.188166
  59.904635, 33326.188166
  59.884839, 33538.188166
  60.024446, 33750.188166
  60.320471, 33962.188166
  60.770003, 34174.188166
  57.464937, 34386.188166
  54.355629, 34598.188166
  51.438501, 34810.188166
  48.710063, 35022.188166
  46.166909, 35234.188166
  43.805716, 35446.188166
  41.623236, 35658.188166
  39.616303, 35870.188166
  37.781821, 36082.188166
  36.116769, 36294.188166
  34.618194, 36506.188166
  33.283214, 36718.188166
  32.109010, 36930.188166
  31.092830, 37142.188166
  30.231983, 37354.188166
  29.523840, 37566.188166
  28.965830, 37778.188166
  28.555438, 37990.188166
  28.290209, 38202.188166
  28.167737, 38414.188166
  28.185674, 38626.188166
  28.341719, 38838.188166
  28.633623, 39050.188166
  29.059185, 39262.188166
  29.616252, 39474.188166
  28.264010, 39580.188166
  26.986666, 39686.188166
  25.783621, 39792.188166
  24.654284, 39898.188166
  23.598068, 40004.188166
  22.614393, 40110.188166
  21.702687, 40216.188166
  20.862382, 40322.188166
  20.092915, 40428.188166
  19.393731, 40534.188166
  18.764281, 40640.188166
  18.204019, 40746.188166
  17.712408, 40852.188166
  17.288915, 40958.188166
  16.933011, 41064.188166
  16.644175, 41170.188166
  16.421890, 41276.188166
  16.265645, 41382.188166
  16.174934, 41488.188166
  16.149255, 41594.188166
  16.188112, 41700.188166
  16.291015, 41806.188166
  16.457478, 41912.188166
  16.687020, 42018.188166
  16.979164, 42124.188166
