Xcg/c, Mass
 107.360603, 28874.188166
 107.575065, 29086.188166
 107.603084, 29298.188166
 107.448680, 29510.188166
 107.115755, 29722.188166
 106.608102, 29934.188166
 105.929409, 30146.188166
 105.083257, 30358.188166
 104.073131, 30570.188166
 102.902419, 30782.188166
 101.574416, 30994.188166
 100.092328, 31206.188166
  98.459274, 31418.188166
  96.678289, 31630.188166
  94.752328, 31842.188166
  92.684268, 32054.188166
  90.476909, 32266.188166
  88.132980, 32478.188166
  85.655138, 32690.188166
  83.045970, 32902.188166
  80.307999, 33114.188166
  77.443684, 33326.188166
  74.455420, 33538.188166
  71.345543, 33750.188166
  68.116330, 33962.188166
  64.770003, 34174.188166
  65.213991, 34386.188166
  65.497286, 34598.188166
  65.622821, 34810.188166
  65.593464, 35022.188166
  65.412008, 35234.188166
  65.081184, 35446.188166
  64.603655, 35658.188166
  63.982023, 35870.188166
  63.218827, 36082.188166
  62.316549, 36294.188166
  61.277612, 36506.188166
  60.104381, 36718.188166
  58.799171, 36930.188166
  57.364242, 37142.188166
  55.801801, 37354.188166
  54.114007, 37566.188166
  52.302972, 37778.188166
  50.370758, 37990.188166
  48.319382, 38202.188166
  46.150818, 38414.188166
  43.866994, 38626.188166
  41.469800, 38838.188166
  38.961080, 39050.188166
  36.342641, 39262.188166
  33.616252, 39474.188166
  33.892548, 39580.188166
  34.099693, 39686.188166
  34.238241, 39792.188166
  34.308737, 39898.188166
  34.311723, 40004.188166
  34.247734, 40110.188166
  34.117300, 40216.188166
  33.920945, 40322.188166
  33.659187, 40428.188166
  33.332539, 40534.188166
  32.941509, 40640.188166
  32.486600, 40746.188166
  31.968309, 40852.188166
  31.387127, 40958.188166
  30.743542, 41064.188166
  30.038037, 41170.188166
  29.271087, 41276.188166
  28.443165, 41382.188166
  27.554739, 41488.188166
  26.606271, 41594.188166
  25.598218, 41700.188166
  24.531035, 41806.188166
  23.405170, 41912.188166
  22.221066, 42018.188166
  20.979164, 42124.188166
