Time, Energies
   2.042796, 9984648.464749
   2.042824, 10040450.629901
   2.042852, 10096253.039566
   2.042879, 10152055.693744
   2.042907, 10207858.592434
   2.042935, 10263662.952181
   2.042963, 10319467.808094
   2.042991, 10375272.924321
   2.043018, 10431078.300860
   2.043046, 10486883.937714
   2.043074, 10542689.834881
   2.043102, 10598495.992361
   2.043129, 10654302.410155
   2.043157, 10710109.088262
   2.043185, 10765916.026683
   2.043213, 10821731.598388
   2.043241, 10877549.157283
   2.043268, 10933367.079637
   2.043296, 10989185.365449
   2.043324, 11045004.014721
   2.043352, 11100823.027452
   2.043379, 11156642.403642
   2.043407, 11212462.143290
   2.043435, 11268282.246398
   2.043463, 11324102.712965
   2.043491, 11379917.748430
   2.043518, 11435731.955475
   2.043546, 11491546.458095
   2.043574, 11547361.256291
   2.043602, 11603176.350063
   2.043629, 11658991.739410
   2.043657, 11714807.424333
   2.043685, 11770623.404832
   2.043713, 11826439.680907
   2.043741, 11882256.252557
   2.043768, 11938074.556086
   2.043796, 11993893.449901
   2.043824, 12049712.655332
   2.043852, 12105532.172378
   2.043879, 12161352.001040
   2.043907, 12217172.141318
   2.043935, 12272992.593211
   2.043963, 12328813.356721
   2.043991, 12384634.431846
   2.044018, 12440455.818587
   2.044046, 12496286.930950
   2.044074, 12552120.282247
   2.044102, 12607954.045597
   2.044129, 12663788.221002
   2.044157, 12719622.808461
   2.044185, 12775457.807974
   2.044213, 12831293.219541
   2.044241, 12887129.043162
   2.044268, 12942965.278836
   2.044296, 12998801.926565
   2.044324, 13054631.792173
   2.044352, 13110460.599994
   2.044379, 13166289.746394
   2.044407, 13222119.231373
   2.044435, 13277949.054931
   2.044463, 13333779.217069
   2.044491, 13389609.717786
   2.044518, 13445440.557082
   2.044546, 13501271.734958
   2.044574, 13557103.251412
   2.044602, 13612935.931753
   2.044629, 13668769.118974
   2.044657, 13724602.652857
   2.044685, 13780436.533404
   2.044713, 13836270.760613
   2.044741, 13892105.334485
   2.044768, 13947940.255020
   2.044796, 14003775.522217
   2.044824, 14059611.136078
   2.044852, 14115447.096601
   2.044879, 14171293.107523
   2.044907, 14227141.440512
   2.044935, 14282990.211465
   2.044963, 14338839.420382
   2.044991, 14394689.067264
   2.045018, 14450539.152110
   2.045046, 14506389.674920
   2.045074, 14562240.635694
   2.045102, 14618092.034433
   2.045129, 14673943.871135
   2.045157, 14729786.865144
   2.045185, 14785628.410878
   2.045213, 14841470.310563
   2.045241, 14897312.564198
   2.045268, 14953155.171785
   2.045296, 15008998.133323
   2.045324, 15064841.448812
   2.045352, 15120685.118252
   2.045379, 15176529.141643
   2.045407, 15232373.518985
   2.045435, 15288217.941050
   2.045463, 15344062.654311
   2.045491, 15399907.718826
   2.045518, 15455753.134595
   2.045546, 15511598.901617
   2.045574, 15567445.019894
